move,version_group,language,flavor_text
pound,legends-arceus,en,"The target is physically pounded with a long tail, a foreleg, or the like."
mega-punch,legends-arceus,en,The target is slugged by a punch thrown with muscle-packed power.
pay-day,legends-arceus,en,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
fire-punch,legends-arceus,en,The target is punched with a fiery fist. This may also leave the target with a burn.
ice-punch,legends-arceus,en,The target is punched with an icy fist. This may also leave the target with frostbite.
thunder-punch,legends-arceus,en,The target is punched with an electrified fist. This may also leave the target with paralysis.
scratch,legends-arceus,en,"Hard, pointed, sharp claws rake the target to inflict damage."
vice-grip,legends-arceus,en,The target is gripped and squeezed from both sides to inflict damage.
guillotine,legends-arceus,en,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
swords-dance,legends-arceus,en,A frenetic dance to uplift the fighting spirit. This raises the user’s offensive stats.
gust,legends-arceus,en,A gust of wind is whipped up by wings and launched at the target to inflict damage.
wing-attack,legends-arceus,en,"The target is struck with large, imposing wings spread wide to inflict damage."
whirlwind,legends-arceus,en,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
fly,legends-arceus,en,The user flies up into the sky and then strikes its target on the next turn.
bind,legends-arceus,en,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
slam,legends-arceus,en,"The target is slammed with a long tail, vines, or the like to inflict damage."
vine-whip,legends-arceus,en,"The target is struck with slender, whiplike vines to inflict damage."
stomp,legends-arceus,en,The target is stomped with a big foot. This may also make the target flinch.
double-kick,legends-arceus,en,The target is quickly kicked twice in succession using both feet.
mega-kick,legends-arceus,en,The target is attacked by a kick launched with muscle-packed power.
sand-attack,legends-arceus,en,"Sand is hurled in the target's face, reducing the target's accuracy."
headbutt,legends-arceus,en,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
horn-attack,legends-arceus,en,The target is jabbed with a sharply pointed horn to inflict damage.
fury-attack,legends-arceus,en,The target is jabbed repeatedly with a horn or beak two to five times in a row.
horn-drill,legends-arceus,en,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
tackle,legends-arceus,en,A physical attack in which the user charges and slams into the target with its whole body.
body-slam,legends-arceus,en,The user drops onto the target with its full body weight. This may also leave the target with paralysis.
wrap,legends-arceus,en,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns."
take-down,legends-arceus,en,"A reckless, full-body charge attack for slamming into the target. This also damages the user a little."
thrash,legends-arceus,en,The user rampages and attacks for two to three turns. The user then becomes confused.
double-edge,legends-arceus,en,"A reckless, life-risking tackle in which the user rushes the target. This also damages the user."
tail-whip,legends-arceus,en,"The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stats."
poison-sting,legends-arceus,en,The user stabs the target with a poisonous stinger. This may also poison the target.
pin-missile,legends-arceus,en,Sharp spikes are shot at the target. Spike splinters left behind by this attack continue to damage the target for several turns.
leer,legends-arceus,en,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.
bite,legends-arceus,en,The user bites the target with viciously sharp fangs to inflict damage.
growl,legends-arceus,en,"The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
roar,legends-arceus,en,"The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
sing,legends-arceus,en,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
supersonic,legends-arceus,en,The user generates odd sound waves from its body that confuse the target.
disable,legends-arceus,en,"For four turns, this move prevents the target from using the move it last used."
acid,legends-arceus,en,Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
ember,legends-arceus,en,The target is attacked with small flames. This may also leave the target with a burn.
flamethrower,legends-arceus,en,The target is scorched with an intense blast of fire. This may also leave the target with a burn.
mist,legends-arceus,en,The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.
water-gun,legends-arceus,en,The target is blasted with a forceful shot of water.
hydro-pump,legends-arceus,en,The target is blasted by a huge volume of water launched under great pressure.
surf,legends-arceus,en,The user attacks everything around it by swamping its surroundings with a giant wave.
ice-beam,legends-arceus,en,The target is struck with an icy-cold beam of energy. This may also leave the target with frostbite.
blizzard,legends-arceus,en,A howling blizzard is summoned to strike the target. This may also leave the target with frostbite.
psybeam,legends-arceus,en,The target is attacked with a peculiar ray. This may also leave the target confused.
bubble-beam,legends-arceus,en,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.
aurora-beam,legends-arceus,en,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.
hyper-beam,legends-arceus,en,The target is attacked with a powerful beam.
peck,legends-arceus,en,The target is jabbed with a sharply pointed beak or horn.
drill-peck,legends-arceus,en,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.
low-kick,legends-arceus,en,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power."
counter,legends-arceus,en,"A retaliation move that counters any physical attack, inflicting double the damage taken."
seismic-toss,legends-arceus,en,The target is thrown using the power of gravity. It inflicts damage equal to the user's level.
strength,legends-arceus,en,The target is slugged with a punch thrown at maximum power.
absorb,legends-arceus,en,The user attacks by draining the target’s nutrients. Some of the damage dealt to the target is absorbed by the user to restore their own HP.
mega-drain,legends-arceus,en,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
leech-seed,legends-arceus,en,A seed is planted on the target. It steals some HP from the target every turn.
growth,legends-arceus,en,"The user's body grows all at once, raising the Attack and Sp. Atk stats."
razor-leaf,legends-arceus,en,Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.
solar-beam,legends-arceus,en,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
poison-powder,legends-arceus,en,The user scatters a cloud of toxic powder that poisons the target.
stun-spore,legends-arceus,en,The user scatters a cloud of numbing powder that paralyzes the target.
sleep-powder,legends-arceus,en,The user scatters a cloud of sleep-inducing powder that makes the target drowsy.
petal-dance,legends-arceus,en,"The user attacks the target by scattering petals, then becomes fixated on using this move."
string-shot,legends-arceus,en,Opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat.
fire-spin,legends-arceus,en,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
thunder-shock,legends-arceus,en,The user attacks the target with a jolt of electricity. This may also leave the target with paralysis.
thunderbolt,legends-arceus,en,The user attacks the target with a strong electric blast. This may also leave the target with paralysis.
thunder-wave,legends-arceus,en,The user launches a weak jolt of electricity that paralyzes the target.
thunder,legends-arceus,en,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
rock-throw,legends-arceus,en,The user picks up and throws a small rock at the target to attack.
earthquake,legends-arceus,en,The user sets off an earthquake that strikes every Pokémon around it.
fissure,legends-arceus,en,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
dig,legends-arceus,en,"The user burrows into the ground, then attacks on the next turn."
toxic,legends-arceus,en,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
confusion,legends-arceus,en,The target is hit with a weak telekinetic force to inflict damage.
psychic,legends-arceus,en,The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s defensive stats.
hypnosis,legends-arceus,en,The user employs hypnotic suggestion to make the target drowsy.
agility,legends-arceus,en,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
quick-attack,legends-arceus,en,"The user lunges at the target to deal damage, moving at a speed that makes it almost invisible. This also raises the user's action speed."
teleport,legends-arceus,en,"The user switches places with a party Pokémon in waiting, if there is any able to battle. If a wild Pokémon uses this move, it flees."
night-shade,legends-arceus,en,The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.
mimic,legends-arceus,en,The user copies the target's last move. The move can be used during battle until the Pokémon is switched out.
screech,legends-arceus,en,An earsplitting screech harshly lowers the target's Defense stat.
double-team,legends-arceus,en,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
recover,legends-arceus,en,The user regenerates its cells to restore its own HP.
harden,legends-arceus,en,The user stiffens all the muscles in its body to raise its Defense stat.
minimize,legends-arceus,en,"The user compresses its body to make itself look smaller, which sharply raises its evasiveness."
smokescreen,legends-arceus,en,The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy.
confuse-ray,legends-arceus,en,The target is exposed to a sinister ray that triggers confusion.
withdraw,legends-arceus,en,"The user withdraws its body into its hard shell, raising its Defense stat."
defense-curl,legends-arceus,en,The user curls up to conceal weak spots and raise its Defense stat.
light-screen,legends-arceus,en,A wondrous wall of light is put up to reduce damage from special attacks for five turns.
haze,legends-arceus,en,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
reflect,legends-arceus,en,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.
focus-energy,legends-arceus,en,The user takes a deep breath and focuses so that its future attacks have a heightened chance of landing critical hits.
metronome,legends-arceus,en,The user waggles a finger and stimulates its brain into randomly using nearly any move.
self-destruct,legends-arceus,en,The user causes an explosion to inflict damage on the target. This also damages the user.
lick,legends-arceus,en,"The target is licked with a long tongue, causing damage. This may also leave the target with paralysis."
smog,legends-arceus,en,The target is attacked with a discharge of filthy gases. This may also poison the target.
sludge,legends-arceus,en,Unsanitary sludge is hurled at the target. This may also poison the target.
fire-blast,legends-arceus,en,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
waterfall,legends-arceus,en,The user charges at the target and may make it flinch.
swift,legends-arceus,en,Star-shaped rays are shot at the target. This attack never misses.
amnesia,legends-arceus,en,The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat.
soft-boiled,legends-arceus,en,The user restores its own HP.
high-jump-kick,legends-arceus,en,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
glare,legends-arceus,en,The user intimidates the target with the pattern on its belly to cause paralysis.
dream-eater,legends-arceus,en,The user eats the dreams of a sleeping target. The user's HP is restored by half the damage taken by the target.
poison-gas,legends-arceus,en,The user sprays a cloud of toxic gas that poisons the target.
leech-life,legends-arceus,en,The user attacks by draining the target's blood. Some of the damage dealt to the target is absorbed by the user to restore their own HP.
sky-attack,legends-arceus,en,A second-turn attack move where critical hits land more easily. This may also make the target flinch.
transform,legends-arceus,en,The user transforms into a copy of the target right down to having the same move set.
spore,legends-arceus,en,The user scatters a burst of spores that makes the target drowsy.
splash,legends-arceus,en,The user just flops and splashes around to no effect at all...
acid-armor,legends-arceus,en,"The user alters its cellular structure to liquefy itself, raising its defensive stats."
crabhammer,legends-arceus,en,The target is hammered with a large pincer. Critical hits land more easily.
explosion,legends-arceus,en,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
fury-swipes,legends-arceus,en,The target is raked with sharp claws or scythes quickly two to five times in a row.
rest,legends-arceus,en,The user restores its own HP but also becomes drowsy.
rock-slide,legends-arceus,en,Large boulders are hurled at the target to inflict damage.
conversion,legends-arceus,en,The user changes its type to become the same type as the move at the top of the list of moves it knows.
tri-attack,legends-arceus,en,"The user strikes with a simultaneous three-beam attack. This may also leave the target with a burn, paralysis, or frostbite."
super-fang,legends-arceus,en,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half.
slash,legends-arceus,en,The target is attacked with a slash of claws or blades. This move has a heightened chance of landing a critical hit.
substitute,legends-arceus,en,The user creates a substitute for itself using some of its HP. The substitute serves as the user's decoy.
sketch,legends-arceus,en,"It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
triple-kick,legends-arceus,en,A consecutive three-kick attack that becomes more powerful with each successful hit.
thief,legends-arceus,en,The user attacks and steals the target's held item simultaneously. The user can't steal anything if it already holds an item.
flame-wheel,legends-arceus,en,The user cloaks itself in flames and charges at the target to deal damage. This may also leave the target with a burn.
snore,legends-arceus,en,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
curse,legends-arceus,en,A move that works differently for the Ghost type than for all other types.
