item,version_group,version,type,subtype,location_area_pokedb,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,currency,required_badge,unlock_condition,notes,source
adamant-crystal,legends-arceus,legends-arceus,request,,lake-valor-hisui,"Reward for defeating Adaman to complete Request 89: ""The Diamond Clan's Treasure""",0,0,1,,,,,,,,pokedb
apricorn,legends-arceus,legends-arceus,npc-gift,,jubilife-village,From Rei/Akari during Mission 3: The Basics of Crafting,0,0,1,20,,,,,During Mission 3,,pokedb
apricorn,legends-arceus,legends-arceus,trainer-reward,,galaxy-hall,Reward for completing Request 95: A New Anomaly,0,0,1,60,,,,,,,pokedb
apricorn,legends-arceus,legends-arceus,trainer-reward,,crimson-mirelands,Reward for completing Request 97: Massive Mass Outbreak in the Mirelands,0,0,1,20,,,,,,,pokedb
apricorn,legends-arceus,legends-arceus,trainer-reward,,coronet-highlands,Reward for completing Request 100: Massive Mass Outbreak in the Highlands,0,0,1,30,,,,,,,pokedb
apricorn,legends-arceus,legends-arceus,harvest,,,Apricorn trees across Hisui,1,0,0,,,,,,,,pokedb
apricorn,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
aux-evasion,legends-arceus,legends-arceus,crafting,recipe,,Crafted using 2 Doppel Bonnets and 1 Candy Truffle,1,0,1,1,,,,,,,pokedb
aux-evasion,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 41: ""An Elegant Tail""",0,0,1,2,,,,,,,pokedb
aux-guard,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 21: ""Back-Alley Mr. Mime""",0,0,1,2,,,,,,,pokedb
aux-guard,legends-arceus,legends-arceus,crafting,recipe,,Craft using 2 Iron Barktongues and 1 Pep-Up Plant,1,0,1,,,,,,,,pokedb
aux-power,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 9: ""Zubat's Eyes""",0,0,1,2,,,,,,,pokedb
aux-power,legends-arceus,legends-arceus,crafting,recipe,,,1,0,1,,,,,,,Requires 2 Swordcaps and 1 Pep-Up Plant,pokedb
aux-powerguard,legends-arceus,legends-arceus,request,,ginkgo-landing,Reward for completing Request 56: Getting Help from Machoke,0,0,1,,,,,,,,pokedb
aux-powerguard,legends-arceus,legends-arceus,crafting,recipe,,"Crafted using 1 Aux Power, 1 Aux Guard, and 1 King's Leaf",1,0,1,,,,,,,,pokedb
azelfs-fang,legends-arceus,legends-arceus,npc-gift,,valor-cavern-hisui,"Received from Azelf after completing its challenge during Mission 15: ""The Trial of Lake Valor""",0,0,1,,,,,,During Mission 15: The Trial of Lake Valor,,pokedb
azure-flute,legends-arceus,,request,,temple-of-sinnoh,"Temple of Sinnoh (reward after defeating Volo and Giratina to complete Mission 26: ""Seeking the Remaining Plates"")",0,0,1,,,,,,,,bulbapedia
ball-of-mud,legends-arceus,legends-arceus,request,,,"Highlands, Mountain, or Summit Camp",0,0,1,20,,,,,"Reward for completing Request 100: ""Massive Mass Outbreak in the Highlands""",,pokedb
ball-of-mud,legends-arceus,legends-arceus,request,,,Snowfields or Icepeak Camp,0,0,1,20,,,,,"Reward for completing Request 101: ""Massive Mass Outbreak in the Icelands""",,pokedb
ball-of-mud,legends-arceus,legends-arceus,overworld,recurring,lava-dome-sanctum,,1,0,1,,,,,,,,pokedb
ball-of-mud,legends-arceus,legends-arceus,overworld,sparkling,alabaster-icelands,Snow piles,1,0,0,,,,,,,,pokedb
ball-of-mud,legends-arceus,legends-arceus,dropped,,,Practice field balloon minigame,1,0,0,,,,,,,Random reward,pokedb
ball-of-mud,legends-arceus,legends-arceus,harvest,,,Found by Ursaluna,1,1,0,,,,,,,,pokedb
ball-of-mud,legends-arceus,legends-arceus,story,,,"Highlands, Mountain, or Summit Camp",0,0,1,100,,,,,"From Adaman during Request 100: ""Massive Mass Outbreak in the Highlands""",,pokedb
basculegion-food,legends-arceus,legends-arceus,npc-gift,,aipom-hill,"From Iscan after bringing him a Dusclops during Mission 10: ""The Lordless Island""",0,0,1,,,,,,"After progressing Mission 10: ""The Lordless Island""",,pokedb
bean-cake,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),1,0,0,10,,,poke-dollar,,,Randomly sold,pokedb
bean-cake,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,400,poke-dollar,,"After completing Request 61: ""Even More New Wares""",,pokedb
bean-cake,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 53: ""Octillery's Ink""",0,0,1,5,,,,,,,pokedb
bean-cake,legends-arceus,legends-arceus,crafting,recipe,,Crafting using 1 Plump Beans and 1 Cake-Lure Base,1,0,1,,,,,,,,pokedb
black-augurite,legends-arceus,,request,,jubilife-village,"Jubilife Village (reward for completing Request 68: ""A Nosepass to Guide the Way"")",0,0,1,,,,,,,,bulbapedia
black-augurite,legends-arceus,,wild-pokemon,held,,Held by wild Graveler (5% chance),1,0,0,,5,,,,,,bulbapedia
black-augurite,legends-arceus,,overworld,,ginkgo-guild-cart,"Ginkgo Guild cart (randomly sold by Ginter, as ""Jet-Black Rock"")",1,0,1,,,,,,,,bulbapedia
black-augurite,legends-arceus,,overworld,,,Sometimes found by Ursaluna,1,0,1,,,,,,,,bulbapedia
black-augurite,legends-arceus,,overworld,,,Space-time distortions,1,0,1,,,,,,,,bulbapedia
black-tumblestone,legends-arceus,legends-arceus,request,,,Mirelands or Bogbound Camp,0,0,1,30,,,,,"Reward for completing Request 97: ""Massive Mass Outbreak in the Mirelands""",,pokedb
black-tumblestone,legends-arceus,legends-arceus,mining,,,"Black ore deposits (Obsidian Fieldlands, Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands)",1,0,0,,,,,,,,pokedb
black-tumblestone,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
black-tumblestone,legends-arceus,legends-arceus,harvest,,,Sometimes found by Ursaluna,1,0,0,,,,,,,,pokedb
blank-plate,legends-arceus,legends-arceus,story,,snowpoint-temple,"Reward for catching Regigigas at the end of Mission 24: ""The Plate of Snowpoint Temple""",0,0,1,,,,,,Complete Mission 24 and catch Regigigas,,pokedb
bold-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
brave-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,harvest,,,Farm (medicinal harvest),1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,shop,vendor,,Ginkgo Guild cart (Tuli),1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,overworld,recurring,obsidian-fieldlands,,1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
bugwort,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
cake-lure-base,legends-arceus,legends-arceus,request,,,"Reward from Morel after giving a Springy Mushroom during Request 6: ""Mushroom Cake Marketing""",0,0,1,5,,,,,"During Request 6: ""Mushroom Cake Marketing""",,pokedb
cake-lure-base,legends-arceus,legends-arceus,shop,vendor,,General store,1,0,1,,,100,poke-dollar,,,,pokedb
cake-lure-base,legends-arceus,legends-arceus,shop,vendor,,Craftworks,1,0,1,,,100,poke-dollar,,,,pokedb
cake-lure-base,legends-arceus,legends-arceus,shop,vendor,,Base camp stores,1,0,1,,,100,poke-dollar,,,,pokedb
cake-lure-base,legends-arceus,legends-arceus,shop,vendor,ancient-retreat,Sold by Volo,1,0,1,,,100,poke-dollar,,"Available during Missions 14, 15, and 16 only",,pokedb
calm-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
candy-truffle,legends-arceus,legends-arceus,story,,,"From Melli during Mission 18: ""The Counterpart""",0,0,1,3,,,,,During Mission 18: The Counterpart,,pokedb
candy-truffle,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 33: ""What a Massive Mushroom!""",0,0,1,5,,,,,After completing Request 33,,pokedb
candy-truffle,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mushroom harvest,1,0,0,,,,,,,,pokedb
candy-truffle,legends-arceus,legends-arceus,dropped,,,Found by Ursaluna,1,0,0,,,,,,,,pokedb
candy-truffle,legends-arceus,legends-arceus,shop,vendor,ginkgo-guild-cart,Tuli,1,0,1,,,600,poke-dollar,,After starting Mission 10: The Lordless Island,,pokedb
careful-mint,legends-arceus,legends-arceus,harvest,,jubilife-village-farm,Mint harvest,1,0,0,,,,,,,,pokedb
caster-fern,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,"Dropped by Carnivine, Lickitung, Lickilicky, Glameow, Purugly, Hisuian Voltorb, and Hisuian Electrode",pokedb
caster-fern,legends-arceus,legends-arceus,harvest,,,Farm,1,0,1,,,,,,,Vegetable harvest,pokedb
caster-fern,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
caster-fern,legends-arceus,legends-arceus,npc-gift,,,Adaman during Request 100: Massive Mass Outbreak in the Highlands,0,0,1,100,,,,,Completing Request 100,,pokedb
caster-fern,legends-arceus,legends-arceus,npc-gift,,,Reward for completing Request 101: Massive Mass Outbreak in the Icelands,0,0,1,20,,,,,Completing Request 101,,pokedb
caster-fern,legends-arceus,legends-arceus,overworld,recurring,,"Crimson Mirelands, Cobalt Coastlands, Coronet Highlands, Alabaster Icelands",1,0,0,,,,,,,Recurring item,pokedb
caster-fern,legends-arceus,legends-arceus,overworld,,crimson-mirelands,Haystacks,1,0,0,,,,,,,,pokedb
celestica-flute,legends-arceus,legends-arceus,story,,,"Received from Adaman during Mission 7: ""The Frenzy of the Lord of the Woods""",0,0,1,,,,,,,,pokedb
choice-dumpling,legends-arceus,legends-arceus,crafting,recipe,,"Crafting using 3 Caster Ferns, 1 Swordcap, 1 Direshroom, and 2 Hearty Grains",1,0,1,,,,,,,,pokedb
crafting-kit,legends-arceus,legends-arceus,npc-gift,,horseshoe-plains,"Received from Rei/Akari during Mission 4: ""Getting to Work on Research Tasks""",0,0,1,,,,,,During Mission 4: Getting to Work on Research Tasks,,pokedb
crunchy-salt,legends-arceus,legends-arceus,crafting,craftworks,,,1,0,1,,,,,,,,pokedb
crunchy-salt,legends-arceus,legends-arceus,harvest,,coronet-highlands,Ursaluna,1,0,0,,,,,,,Sometimes found,pokedb
crunchy-salt,legends-arceus,legends-arceus,harvest,,alabaster-icelands,Ursaluna,1,0,0,,,,,,,Sometimes found,pokedb
crunchy-salt,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
crunchy-salt,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,,pokedb
dazzling-honey,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 57: ""The Taste of Honey""",0,0,1,3,,,,,After completing Request 57,,pokedb
dazzling-honey,legends-arceus,legends-arceus,overworld,recurring,obsidian-fieldlands,Recurring item spawn,1,0,0,,,,,,,,pokedb
dazzling-honey,legends-arceus,legends-arceus,harvest,,crimson-mirelands,Leaf piles,1,0,0,,,,,,,,pokedb
dazzling-honey,legends-arceus,legends-arceus,harvest,,cobalt-coastlands,Leaf piles,1,0,0,,,,,,,,pokedb
dazzling-honey,legends-arceus,legends-arceus,crafting,craftworks,,Craftworks,1,0,1,,,,,,,,pokedb
dazzling-honey,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,"Dropped by Beautifly, Dustox, Mothim, Combee, Heracross, Teddiursa, and Ursaring",pokedb
dazzling-honey,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 1: ""Wurmple Can Evolve""",0,0,1,3,,,,,After completing Request 1,,pokedb
direshroom,legends-arceus,legends-arceus,overworld,recurring,crimson-mirelands,,1,0,1,,,,,,,,pokedb
direshroom,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,,1,0,1,,,,,,,,pokedb
direshroom,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,,pokedb
direshroom,legends-arceus,legends-arceus,harvest,,,Farm (mushroom harvest),1,0,1,,,,,,,,pokedb
direshroom,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,480,poke-dollar,,"After starting Mission 10: ""The Lordless Island""",,pokedb
doppel-bonnets,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,,1,0,1,,,,,,,Recurring item spawn,pokedb
doppel-bonnets,legends-arceus,legends-arceus,overworld,recurring,alabaster-icelands,,1,0,1,,,,,,,Recurring item spawn,pokedb
doppel-bonnets,legends-arceus,legends-arceus,harvest,,,Farm mushroom harvest,1,0,1,,,,,,,,pokedb
doppel-bonnets,legends-arceus,legends-arceus,shop,vendor,jubilife-village,Ginkgo Guild cart (Tuli),1,0,1,,,480,poke-dollar,,After starting Mission 11: Scaling Perilous Heights,,pokedb
draco-plate,legends-arceus,,request,,,"Lake Verity (If Mesprit was caught last)/Lake Valor (If Azelf was caught last)/Lake Acuity (If Uxie was caught last) (reward for catching Uxie, Mesprit, and Azelf during Mission 21: ""The Plate of the Lakes"")",0,0,1,,,,,,,,bulbapedia
dread-plate,legends-arceus,,request,,moonview-arena,"Moonview Arena (reward for catching Cresselia during Mission 23: ""The Plate of Moonview Arena"")",0,0,1,,,,,,,,bulbapedia
earth-plate,legends-arceus,,request,,sludge-mound,"Sludge Mound (reward for defeating Ursaluna during Mission 8: ""Arezu's Predicament"")",0,0,1,,,,,,,,bulbapedia
eternal-ice,legends-arceus,legends-arceus,overworld,visible,avaluggs-legacy,On top of the biggest ice formation; requires Ride Braviary,0,0,1,,,,,,,,pokedb
exp-candy-s,legends-arceus,legends-arceus,request,,jubilife-village,Rewards from multiple Requests,0,0,1,,,,,,By completing specific requests,,pokedb
exp-candy-xl,legends-arceus,legends-arceus,npc-gift,,jubilife-village,From Vessa for collecting 90 wisps,0,0,1,,,,,,After collecting 90 wisps,,pokedb
lafeather-ball,legends-arceus,,request,,,"Heights Camp (×15; reward for completing Request 15: ""Balloon Race in the Fieldlands"")",0,0,1,15,,,,,,,bulbapedia
lafeather-ball,legends-arceus,,crafting,apricorn,,Crafting: 1 Apricorn and 1 Sky Tumblestone,1,0,1,,,,,,,,bulbapedia
lafeather-ball,legends-arceus,,shop,,,"General store, base camp stores",1,0,1,,,,,,"after completing Request 23: ""Getting Ahold of New Wares""",,bulbapedia
lafeather-ball,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×30; randomly sold by Ginter),1,0,1,30,,,,,,,bulbapedia
fine-remedy,legends-arceus,legends-arceus,crafting,recipe,,,1,0,1,,,,,,Requires 1 Remedy and 1 Pep-Up Plant,,pokedb
fine-remedy,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 29: ""The Search for Bitter Leaves""",0,0,1,3,,,,,,,pokedb
fist-plate,legends-arceus,,request,,prelude-beach,"Prelude Beach (reward for defeating Kamado during Mission 25: ""The Plate of Prelude Beach"")",0,0,1,,,,,,,,bulbapedia
flame-plate,legends-arceus,,request,,molten-arena,"Molten Arena (reward for defeating the noble Hisuian Arcanine during Mission 10: ""The Lordless Island"")",0,0,1,,,,,,,,bulbapedia
forest-balm,legends-arceus,legends-arceus,story,,grandtree-arena,"During Mission 7: ""The Frenzy of the Lord of the Woods"" and post-game rematches",1,0,1,,,,,,During Mission 7 and in post-game rematches against Kleavor,,pokedb
gentle-mint,legends-arceus,legends-arceus,harvest,,,Farm (mint harvest),1,0,0,,,,,,,,pokedb
lagigaton-ball,legends-arceus,,event,,,Event,0,0,1,,,,,,,,bulbapedia
lagigaton-ball,legends-arceus,,crafting,apricorn,,"Crafting: 1 Apricorn, 2 Black Tumblestones, and 2 Iron Chunks",1,0,1,,,,,,,,bulbapedia
lagigaton-ball,legends-arceus,,overworld,,ginkgo-guild-cart,Ginkgo Guild cart (×20; randomly sold by Ginter),1,0,1,20,,,,,,,bulbapedia
grain-cake,legends-arceus,legends-arceus,request,,,"Reward for completing Request 30: ""A Beautiful Rose...""",0,0,1,5,,,,,,,pokedb
grain-cake,legends-arceus,legends-arceus,crafting,recipe,,,1,0,1,,,,,,,Requires 1 Hearty Grains and 1 Cake-Lure Base.,pokedb
grain-cake,legends-arceus,legends-arceus,overworld,recurring,cobalt-coastlands,Boxes,1,0,0,,,,,,,,pokedb
grain-cake,legends-arceus,legends-arceus,overworld,recurring,coronet-highlands,Boxes,1,0,0,,,,,,,,pokedb
grain-cake,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,400,poke-dollar,,"After completing Request 43: ""More New Wares""",,pokedb
grain-cake,legends-arceus,legends-arceus,shop,vendor,ginkgo-guild,Ginkgo Guild cart (Ginter),1,0,0,10,,,,,,Randomly sold.,pokedb
great-ball-hisuian,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"Reward for completing Request 26: ""Aim for the Big Leagues!""",0,0,1,15,,,,,,,pokedb
great-ball-hisuian,legends-arceus,legends-arceus,crafting,recipe,,"1 Apricorn, 1 Tumblestone, and 1 Iron Chunk",1,0,1,,,,,,,,pokedb
great-ball-hisuian,legends-arceus,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,1,0,1,,,300,poke-dollar,,"After completing Request 43: ""More New Wares""",,pokedb
griseous-core,legends-arceus,legends-arceus,request,,turnback-cave,"Reward for completing Request 91: ""On the Trail of Giratina"" after catching or defeating Giratina",0,0,1,,,,,,,,pokedb
grit-dust,legends-arceus,legends-arceus,tournament,,training-grounds,Random Path of Solitude reward,1,0,0,3,,,,,,,pokedb
grit-dust,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 5: ""What It Takes to Be Awesome""",0,0,1,3,,,,,,,pokedb
grit-dust,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,,pokedb
grit-dust,legends-arceus,legends-arceus,story,,pastures,Obtained after releasing Pokémon,1,0,1,,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"From Lian during Mission 10: ""The Lordless Island""",0,0,1,3,,,,,During Mission 10,,pokedb
grit-gravel,legends-arceus,legends-arceus,request,,,"Reward for completing Request 35: ""Battling with Pachirisu""",0,0,1,,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,request,,,"Reward for completing Request 40: ""The Charm Lost in the Swamp""",0,0,1,,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,request,,jubilife-village,"Reward for completing Request 41: ""An Elegant Tail""",0,0,1,2,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,request,,ginkgo-landing,"Reward for completing Request 56: ""Getting Help from Machoke""",0,0,1,3,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,dropped,,pastures,After releasing Pokémon,1,0,0,,,,,,,,pokedb
grit-gravel,legends-arceus,legends-arceus,exchange,,training-grounds,Trade 10 Grit Dusts with Zisu,1,0,1,,,10,,,,,pokedb
grit-pebble,legends-arceus,legends-arceus,npc-gift,,jubilife-village,"From Lian during Mission 10: ""The Lordless Island""",0,0,1,2,,,,,During Mission 10,,pokedb
grit-pebble,legends-arceus,legends-arceus,npc-gift,,jubilife-village,From Vessa for collecting 60 wisps,0,0,1,5,,,,,After collecting 60 wisps,,pokedb
grit-pebble,legends-arceus,legends-arceus,request,,pearl-settlement,"Reward for completing Request 84: ""The Bergmite Enthusiast""",0,0,1,3,,,,,After completing Request 84,,pokedb
grit-pebble,legends-arceus,legends-arceus,achievement,,galaxy-hall,From Cyllene for achieving Ninth Star rank,0,0,1,20,,,,,After achieving Ninth Star rank,,pokedb
grit-pebble,legends-arceus,legends-arceus,dropped,,,Dropped by wild Pokémon,1,0,0,,,,,,,,pokedb
grit-pebble,legends-arceus,legends-arceus,dropped,,pastures,After releasing Pokémon,1,0,0,,,,,,,,pokedb
grit-pebble,legends-arceus,legends-arceus,exchange,,training-grounds,Trade 10 Grit Gravels with Zisu,1,0,1,1,,10,,,,Cost is 10 Grit Gravels,pokedb
grit-pebble,legends-arceus,legends-arceus,npc-defeat,,moonview-arena,From Melli for defeating noble Electrode in a rematch without taking damage,1,0,1,3,,,,,Defeat noble Electrode in a rematch without taking damage,,pokedb
