identifier,id,name_fr,description_fr,name_de,description_de,name_es,description_es,name_en,description_en,name_es_419,description_es_419
level-up,1,Montée de niveau,Appris lorsqu’un Pokémon atteint un certain niveau.,Level up,"Wird gelernt, wenn ein Pokémon ein bestimmtes Level erreicht.",Nivel,Se aprende cuando un pokemon alcanza un cierto nivel.,Level up,Learned when a Pokémon reaches a certain level.,Nivel,Se aprende cuando un pokemon alcanza un cierto nivel.
egg,2,Œuf,"Apparaît à l’éclosion d’un œuf de Pokémon, si le père connaît ce mouvement.",Ei,"Erscheint bei einem frisch geschlüpften Pokémon, wenn der Vater die selbe Fähigkeit hatte.",Huevo,"Aparece en un Pokémon recién nacido, si el padre tuvo el mismo movimiento.",Egg,"Appears on a newly-hatched Pokémon, if the father had the same move.",Huevo,"Aparece en un Pokémon recién nacido, si el padre tuvo el mismo movimiento."
tutor,3,Enseigné,Enseigné par un PNJ,Tutor,Kann jederzeit von einem NPC erlernt werden.,Tutor,Puede ser enseñado en cualquier momento por un NPC.,Tutor,Can be taught at any time by an NPC.,Tutor,Puede ser enseñado en cualquier momento por un NPC.
machine,4,Capsule,Peut être appris n’importe quand par une CT ou une CS.,Maschine,Kann jederzeit durch das benutzen eines TM oder VM erlernt werden.,Máquina,Se puede enseñar en cualquier momento usando una MT o MO.,Machine,Can be taught at any time by using a TM or HM.,Máquina,Se puede enseñar en cualquier momento usando una MT o MO.
stadium-surfing-pikachu,5,Stadium: Pikachu Surfeur,Appris lorsqu'un Pikachu non loué aide à remporter le deuxième round de la Coupe Master Ball de la Coupe Elite.  Il doit participer au dernier combat et vous devez gagner sans sauvegarde ni interruption.,Stadium: Surfendes Pikachu,"Wird gelernt, wenn ein Pikachu dabei hilft den Premium-Cup in der Kategorie Meisterball ohne unterbrechung zu besiegen.  Es muss in jedem Kampf teilnehmen.",,,Stadium: Surfing Pikachu,"Learned when a non-rental Pikachu helps beat Prime Cup Master Ball R-2.  It must participate in every battle, and you must win with no continues.",,
light-ball-egg,6,Pichu Électacle,Apparaît sur un Pichu dont un parent portait la Balle Lumière. Métamorph ne peut pas être utilisé comme parent.,Volttackle Pichu,Erscheint bei einem Pichu dessen Mutter einen Kugelblitz trug.  Der Vater darf nicht Ditto sein.,,,Volt Tackle Pichu,Appears on a Pichu whose mother was holding a Light Ball.  The father cannot be Ditto.,,
colosseum-purification,7,Colosseum: Purification,Apparaît sur un Pokémon obscur lorsqu’il se purifie.,,,,,Colosseum: Purification,Appears on a Shadow Pokémon as it becomes increasingly purified.,,
xd-shadow,8,XD: Obscur,Apparaît sur un Pokémon obscur.,,,,,XD: Shadow,Appears on a Snatched Shadow Pokémon.,,
xd-purification,9,XD: Purification,Apparaît sur un Pokémon obscur lorsqu’il se purifie.,,,,,XD: Purification,Appears on a Shadow Pokémon as it becomes increasingly purified.,,
form-change,10,Changement de Forme,Apparaît lorsque Motisma ou Pikachu Cosplayeur change de forme. Disparaît si le Pokémon prend une autre forme. Cette capacité ne peut être apprise que par changement de forme.,Rotom Formen,"Erscheint, wenn Rotom seine Form wechselt.  Verschwindet wenn Rotom eine andere Form an nimmt. Diese Fähigkeit kann nur durch wechseln der Form erlernt werden.",,,Form Change,Appears when Rotom or Cosplay Pikachu changes form.  Disappears if the Pokémon becomes another form and this move can only be learned by form change.,,
zygarde-cube,11,Boîte Zygarde,Peut être appris avec la Boîte Zygarde. Doît d’abord trouver les cellules Zygardes correspondantes dans Soleil/Lune. Toutes les capacités sont disponibles directement dans Ultra Soleil/Ultra Lune.,,,,,Zygarde Cube,Can be taught using the Zygarde Cube.  Must find the corresponding Zygarde Core first in Sun/Moon.  All moves are available immediately in Ultra Sun/Ultra Moon.,,
train,12,,,,,,,Train,Taught via the training menu in Pokémon Champions.,,
