identifier,location,name
abandoned-ship,abandoned-ship,Abandoned Ship
abundant-shrine,abundant-shrine,Abundant Shrine
abyssal-ruins,undella-bay,Abyssal Ruins
accumula-town,accumula-town,Accumula Town
acuity-cavern-hisui,lake-acuity-hisui,Acuity Cavern (Hisui)
acuity-lakefront,acuity-lakefront,Acuity Lakefront
aether-house,aether-house,Aether House
aether-paradise,aether-paradise,Aether Paradise
aipom-hill,aipom-hill,Aipom Hill
akala-outskirts,akala-outskirts,Akala Outskirts
alabaster-icelands,alabaster-icelands,Alabaster Icelands
alfornada-cavern,alfornada-cavern,Alfornada Cavern
alola-route-01,alola-route-01,Alola Route 1
alola-route-01-field-overlooking-bay,alola-route-01,Alola Route 1 (Patch of grass overlooking the bay)
alola-route-01-first-two-patches-east-of-players-house,alola-route-01,Alola Route 1 (First two fields east of the player’s house)
alola-route-01-hauoli-outskirts,alola-route-01,Alola Route 1 (Hau'oli Outskirts)
alola-route-01-path-south-of-iki-town-blocked-by-rocks,alola-route-01,Alola Route 1 (Path south of Iki Town blocked by rocks)
alola-route-01-two-fields-nearest-iki-town,alola-route-01,Alola Route 1 (Two fields nearest Iki Town)
alola-route-01-two-fields-nearest-iki-town-plus-western-path,alola-route-01,Alola Route 1 (Two fields nearest Iki Town + western path)
alola-route-02,alola-route-02,Alola Route 2
alola-route-02-four-southernmost-patches,alola-route-02,Alola Route 2 (Four southernmost patches of grass)
alola-route-02-northernmost-patch,alola-route-02,Alola Route 2 (Northernmost patch of grass)
alola-route-02-three-northermost-patches,alola-route-02,Alola Route 2 (Three northernmost patches of grass)
alola-route-02-two-patches-southwest-of-pkmn-center,alola-route-02,Alola Route 2 (Two patches of grass southwest of the Pokémon Center)
alola-route-03,alola-route-03,Alola Route 3
alola-route-03-patch-south-of-bridge,alola-route-03,Alola Route 3 (Patch of grass south of bridge)
alola-route-03-two-patches-north-of-bridge,alola-route-03,Alola Route 3 (Two patches of grass north of the bridge)
alola-route-04,alola-route-04,Alola Route 4
alola-route-05,alola-route-05,Alola Route 5
alola-route-05-northern-half,alola-route-05,Alola Route 5 (Northern half)
alola-route-05-southern-half,alola-route-05,Alola Route 5 (Southern half)
alola-route-06,alola-route-06,Alola Route 6
alola-route-06-northern-patch,alola-route-06,Alola Route 6 (Northern patch of grass)
alola-route-06-two-southern-patches,alola-route-06,Alola Route 6 (Two southern patches of grass)
alola-route-07,alola-route-07,Alola Route 7
alola-route-08,alola-route-08,Alola Route 8
alola-route-09,alola-route-09,Alola Route 9
alola-route-10,alola-route-10,Alola Route 10
alola-route-11,alola-route-11,Alola Route 11
alola-route-12,alola-route-12,Alola Route 12
alola-route-12-first-ten-patches-from-north,alola-route-12,Alola Route 12 (First ten patches of grass from the north)
alola-route-12-southernmost-patch,alola-route-12,Alola Route 12 (Southernmost patch of grass)
alola-route-13,alola-route-13,Alola Route 13
alola-route-14,alola-route-14,Alola Route 14
alola-route-15,alola-route-15,Alola Route 15
alola-route-16,alola-route-16,Alola Route 16
alola-route-17,alola-route-17,Alola Route 17
altar-of-the-moone,altar-of-the-moone,Altar of the Moone
altar-of-the-sunne,altar-of-the-sunne,Altar of the Sunne
altering-cave-sevii-islands,altering-cave-sevii-islands,Altering Cave (Sevii Islands)
ambrette-town,ambrette-town,Ambrette Town
amity-square,hearthome-city,Amity Square
ancient-poni-path,ancient-poni-path,Ancient Poni Path
ancient-quarry,ancient-quarry,Ancient Quarry
ancient-retreat,ancient-retreat,Ancient Retreat
ancient-tomb,ancient-tomb,Ancient Tomb
apple-hills,apple-hills,Apple Hills
apple-hills-cave,apple-hills,Apple Hills (Cave)
apple-hills-prairie,apple-hills,Apple Hills (Prairie)
