key,column,pokeapi,pokedb,chosen
breakneck-blitz/sun-moon/ja-hrkt,flavor_text(z-split),"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。",ダミーデータ,"Ｚパワーで　いきおいを　つけて
ぜんりょくで　あいてに　ぶつかる。
もとになった　わざで　いりょくが　かわる。"
breakneck-blitz/sun-moon/ko,flavor_text(z-split),"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다.",Dummy Data,"Z파워로 기세를 몰아
전력으로 상대에게 부딪친다.
원래 기술에 따라 위력이 변한다."
breakneck-blitz/sun-moon/zh-hant,flavor_text(z-split),"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。",ダミーデータ,"透過Ｚ力量氣勢猛烈地
全力撞擊對手。
威力會隨原本的招式而改變。"
breakneck-blitz/sun-moon/fr,flavor_text(z-split),"Le Pokémon utilise la Force Z pour s’élancer à toute
vitesse sur l’adversaire. La puissance varie selon
celle de la capacité originale.",Dummy,"Le Pokémon utilise la Force Z pour s’élancer à toute
vitesse sur l’adversaire. La puissance varie selon
celle de la capacité originale."
breakneck-blitz/sun-moon/de,flavor_text(z-split),"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke.",Dummy data,"Der durch Z-Kraft energiegeladene Anwender rennt
mit ganzer Kraft gegen das Ziel. Die Stärke variiert
je nach zugrunde liegender Attacke."
breakneck-blitz/sun-moon/es,flavor_text(z-split),"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original.",Dummy data,"El usuario emplea el Poder Z para coger carrerilla y
arremeter contra el objetivo con gran fuerza. Su
potencia depende de la del movimiento original."
breakneck-blitz/sun-moon/it,flavor_text(z-split),"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa.",Dummy Data,"Grazie al Potere Z, chi la usa accumula energia e si
lancia a tutta forza contro il bersaglio. La potenza
varia a seconda della mossa su cui si basa."
breakneck-blitz/sun-moon/en,flavor_text(z-split),"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move.",Dummy Data,"The user builds up its momentum using its Z-Power
and crashes into the target at full speed. The power
varies, depending on the original move."
breakneck-blitz/sun-moon/ja,flavor_text(z-split),"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。",ダミーデータ,"Ｚパワーで　勢いを　つけて
全力で　相手に　ぶつかる。
元になった　技で　威力が　変わる。"
breakneck-blitz/sun-moon/zh-hans,flavor_text(z-split),"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。",ダミーデータ,"通过Ｚ力量气势猛烈地
全力撞上对手。
威力会根据原来的招式而改变。"
