item,version_group,language,flavor_text
master-ball,ruby-sapphire,en,"The best BALL that
catches a POKéMON
without fail."
master-ball,emerald,en,"The best BALL that
catches a POKéMON
without fail."
master-ball,firered-leafgreen,en,"The best BALL with the ultimate
performance. It will catch any wild
POKéMON without fail."
master-ball,diamond-pearl,en,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
master-ball,platinum,en,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
master-ball,heartgold-soulsilver,en,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
master-ball,black-white,fr,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un
Pokémon sauvage."
master-ball,black-white,en,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
master-ball,black-2-white-2,en,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
master-ball,x-y,ja-hrkt,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
master-ball,x-y,ko,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
master-ball,x-y,fr,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
master-ball,x-y,de,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
master-ball,x-y,es,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,x-y,it,"La Poké Ball dalle prestazioni migliori:
cattura qualsiasi Pokémon selvatico senza
mai fallire."
master-ball,x-y,en,"The best Poké Ball with the ultimate
level of performance. With it, you will
catch any wild Pokémon without fail."
master-ball,x-y,ja,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
master-ball,x-y,es-419,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,sun-moon,ja-hrkt,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
master-ball,sun-moon,ko,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
master-ball,sun-moon,zh-hant,"性能最好的球。
必定能捉到野生寶可夢。"
master-ball,sun-moon,fr,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
master-ball,sun-moon,de,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
master-ball,sun-moon,es,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,sun-moon,it,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
master-ball,sun-moon,en,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
master-ball,sun-moon,ja,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
master-ball,sun-moon,zh-hans,"必定能捉到野生宝可梦的，
性能最好的球。"
master-ball,sun-moon,es-419,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
master-ball,ultra-sun-ultra-moon,ja-hrkt,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
master-ball,ultra-sun-ultra-moon,ko,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
