identifier,column,pokeapi,pokedb
pound,name_fr,Écras’Face,Écras'Face
pound,name_zh-hant,拍擊,拍擊 / 拍击
double-slap,name_zh-hant,連環巴掌,連環巴掌 / 连环巴掌
comet-punch,name_zh-hant,連續拳,連續拳 / 连续拳
mega-punch,name_zh-hant,百萬噸重拳,百萬噸重拳 / 百万吨重拳
pay-day,name_zh-hant,聚寶功,聚寶功 / 聚宝功
ice-punch,name_zh-hant,冰凍拳,冰凍拳 / 冰冻拳
thunder-punch,name_zh-hant,雷電拳,雷電拳 / 雷电拳
vice-grip,name_zh-hant,夾住,夾住 / 夹住
guillotine,name_zh-hant,斷頭鉗,斷頭鉗 / 断头钳
razor-wind,name_zh-hant,旋風刀,旋風刀 / 旋风刀
swords-dance,name_zh-hant,劍舞,劍舞 / 剑舞
cut,name_zh-hant,居合斬,居合斬 / 居合斩
gust,name_zh-hant,起風,起風 / 起风
wing-attack,name_it,Attacco d’Ala,Attacco d'Ala
wing-attack,name_zh-hant,翅膀攻擊,翅膀攻擊 / 翅膀攻击
whirlwind,name_zh-hant,吹飛,吹飛 / 吹飞
fly,name_zh-hant,飛翔,飛翔 / 飞翔
bind,name_zh-hant,綁緊,綁緊 / 绑紧
double-kick,name_ko,두번차기,두번치기
double-kick,name_zh-hant,二連踢,二連踢 / 二连踢
mega-kick,name_zh-hant,百萬噸重踢,百萬噸重踢 / 百万吨重踢
jump-kick,name_zh-hant,飛踢,飛踢 / 飞踢
rolling-kick,name_zh-hant,迴旋踢,迴旋踢 / 回旋踢
sand-attack,name_zh-hant,潑沙,潑沙 / 泼沙
headbutt,name_fr,Coup d’Boule,Coup d'Boule
headbutt,name_zh-hant,頭錘,頭錘 / 头锤
horn-attack,name_fr,Koud’Korne,Koud'Korne
fury-attack,name_zh-hant,亂擊,亂擊 / 乱击
horn-drill,name_fr,Empal’Korne,Empal'Korne
horn-drill,name_zh-hant,角鑽,角鑽 / 角钻
tackle,name_zh-hant,撞擊,撞擊 / 撞击
body-slam,name_zh-hant,泰山壓頂,泰山壓頂 / 泰山压顶
wrap,name_zh-hant,緊束,緊束 / 紧束
thrash,name_zh-hant,大鬧一番,大鬧一番 / 大闹一番
double-edge,name_zh-hant,捨身衝撞,捨身衝撞 / 舍身冲撞
tail-whip,name_es,Agitacola,Látigo
