type,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_cs,name_pt_br,name_pt_pt,name_bg,name_bg_latn,name_da,name_el,name_el_latn,name_fi,name_fr_ca,name_he,name_he_latn,name_hi,name_hu,name_id,name_is,name_ms,name_nl,name_no,name_pl,name_ro,name_ru,name_ru_latn,name_sk,name_sv,name_th,name_th_latn,name_tr,name_vi,name_zh_cmn_latn,name_zh_yue_latn
normal,Normal,ノーマル,ノーマル,Normal,Normal,Normal,Normal,Normal,Normale,노말,Normal,一般,一般,Normální,Normal,Normal,,,Normal,Φυσιολογικός,Fysiologikós,Normaali,,רגיל,Ragil,नॉर्मल,Normál,Normal,,Biasa,Normaal,Normal,Normalny,Normal,Нормальный,Normal'nyy,,Normal,ปกติ,Pakati,Normal,Thường,Yībān,Yātbūn
fighting,Fighting,かくとう,かくとう,Kakutō,Combat,Kampf,Lucha,Pelea,Lotta,격투,Gyeoktu,格鬥,格斗,Bojový,Lutador,Luta,,,Kamp,Μαχητής,Machitís,Taistelu,,לחימה,Lekhima,फ़ाइटिंग,Harcos,Petarung,,Berlawan,Vecht,Kjempende,Walczący,Luptă,Сражение,Srazheniye,,Slagsmål,ต่อสู้,Tosu,Dövüşçü,Giác đấu,Gédòu,Gaakdau
flying,Flying,ひこう,ひこう,Hikou,Vol,Flug,Volador,Volador,Volante,비행,Bihaeng,飛行,飞行,Létající,,Voador,,,Flyve,Ιπτάμενος,Iptámenos,Lento,,מעופף,Meofef,फ़्लाइंग,Repülő,Terbang,,Terbang,Vliegsoort,Flyvende,Latający,Zbor,Летающий,Letayushchiy,,Flygande,บิน,Bin,Uçan,Bay,Fēixíng,Fēihàhng
poison,Poison,どく,どく,Doku,Poison,Gift,Veneno,Veneno,Veleno,독,Dok,毒,毒,Jedovatý,Venenoso,Veneno,,,Gift,Δηλητηρίου,Dilitiríou,Myrkky,,רעל,Ra'al,पॉइज़न,Méreg,Racun,,Racun,Gif,Gift,Trujący,Otravă,Яд,Yad,,Gift,พิษ,Phit,Zehir,Độc,Dú,Duhk
ground,Ground,じめん,じめん,Jimen,Sol,Boden,Tierra,Tierra,Terra,땅,Ttang,地面,地面,Zemní,Terrestre,Terra,,,Jord,Εδάφους,Edáfous,Maa,,אדמה,Adama,ज़मीनी,Föld,Tanah,,Darat,Grond,Grund,Ziemny,Pământ,Земля,Zemlya,,Mark,ดิน,Din,Yer,Đất,Dìmiàn,Deihmín
rock,Rock,いわ,いわ,Iwa,Roche,Gestein,Roca,Roca,Roccia,바위,Bawi,岩石,岩石,Kamenný,,Pedra,,,Sten,Πέτρας,Pétras,Kivi,,סלע,Sela,रॉक,Szikla,Bebatuan,,Batu,Steen,Stein,Kamienny,Piatră,Камень,Kamen',,Sten,หิน,Hin,Kaya,Đá,Yánshí,Ngàahmsehk
bug,Bug,むし,むし,Mushi,Insecte,Käfer,Bicho,Insecto,Coleottero,벌레,Beolle,蟲,虫,Hmyzí,Inseto,Insecto,,,Kryb,Εντόμου,Entómou,Ötökkä,,חרק,Kherek,बग,Bogár,Serangga,,Serangga,Insect,Insekt,Robak,Insectă,Насекомое,Nasekomoye,,Insekt,แมลง,Malaeng,Böcek,Côn trùng,Chóng,Chùhng
ghost,Ghost,ゴースト,ゴースト,Ghost,Spectre,Geist,Fantasma,Fantasma,Spettro,고스트,Ghost,幽靈,幽灵,Duchový,,Fantasma,Призрачни,Prizrachni,Spøgelse,Φάντασμα,Fántasma,Kummitus,,רוח,Ruakh,घोस्ट,Szellem,Hantu,,Hantu,Geest,Spøkelse,Duch,Fantomă,Привидение,Privideniye,,Spöke,ผี,Phi,Hayalet,Ma,Yōulíng,Yāulìhng
steel,Steel,はがね,はがね,Hagane,Acier,Stahl,Acero,Acero,Acciaio,강철,Gangcheol,鋼,钢,Ocelový,Aço,Aço,,,Stål,Μετάλλου,Metallou,Teräs,,פלדה,Plada,स्टील,Acél,Logam,,Besi,Staal,Stål,Stalowy,Oțel,Сталь,Stal',,Stål,โลหะ,Loha,Çelik,Thép,Gāng,Gong
fire,Fire,ほのお,ほのお,Honō,Feu,Feuer,Fuego,Fuego,Fuoco,불꽃,Bulkkot,火,火,Ohnivý,Fogo,Fogo,Огнени,Ogneni,Ild,Φωτιάς,Fotiás,Tuli,,אש,Esh,फ़ायर,Tűz,Api,Eld,Api,Vuur,Ild,Ognisty,Foc,Огонь,Ogon',,Eld,ไฟ,Fai,Ateş,Lửa,Huǒ,Fó
water,Water,みず,みず,Mizu,Eau,Wasser,Agua,Agua,Acqua,물,Mul,水,水,Vodní,,Água,,,Vand,Νερού,Nerou,Vesi,,מים,Mayim,वॉटर,Víz,Air,Vatn,Air,Water,Vann,Wodny,Apă,Вода,Voda,,Vatten,น้ำ,Nam,Su,Nước,Shuǐ,Séui
grass,Grass,くさ,くさ,Kusa,Plante,Pflanze,Planta,Planta,Erba,풀,Pul,草,草,Travní,Planta,Erva,Растителни,Rastitelni,Græs,Φυτού,Fytoú,Ruoho,Herbe,עשב,Esev,ग्रास,Fű,Daun,,Rumput,Gras,Gress,Trawiasty,Iarbă,Трава,Trava,,Gräs,หญ้า,Ya,Bitki,Cỏ,Cǎo,Chóu
electric,Electric,でんき,でんき,Denki,Électrik,Elektro,Eléctrico,Eléctrico,Elettro,전기,Jeon'gi,電,电,Elektrický,,Elétrico,,,Elektrisk,Ηλεκτρισμού,Ilektrismoú,Sähkö,,חשמל,Khashmal,इलेक्ट्रिक,Elektromos,Listrik,Elding,Elektrik,Elektrisch,Elektrisk,Elektryczny,Electricitate,Электро,Elektro,,Elektrisk,ไฟฟ้า,Faifa,Elektrik,Điện,Diàn,Dihn
psychic,Psychic,エスパー,エスパー,Esper,Psy,Psycho,Psíquico,Psíquico,Psico,에스퍼,Esper,超能力,超能力,Psychický,,Psíquico,Психомощни,Psikhomoshtni,Synsk,Μέντιουμ,Méntioum,Meedio,,על חושי,Al Khushi,साइकिक,Pszichikus,Psychic,,Psikik,Paranormaal,Psykisk,Psychiczny,Psihic,Психо,Psikho,,Psykisk,พลังจิต,Phlangchit,Psişik/Medyum,Siêu năng,Chāonénglì,Chīunàhnglihk
ice,Ice,こおり,こおり,Kōri,Glace,Eis,Hielo,Hielo,Ghiaccio,얼음,Eol'eum,冰,冰,Ledový,,Gelo,,,Is,Πάγου,Págou,Jää,,קרח,Kerakh,आइस,Jég,Es,Ís,Ais,IJs,Is,Lodowy,Gheață,Лёд,Lyod,Ľadový,Is,น้ำแข็ง,Namkhaeng,Buz,Băng,Bīng,Bīng
dragon,Dragon,ドラゴン,ドラゴン,Dragon,Dragon,Drache,Dragón,Dragón,Drago,드래곤,Dragon,龍,龙,Dračí,,Dragão,,,Drage,Δράκου,Drákou,Lohikäärme,,דרקון,Dracon,ड्रैगन,Sárkány,Naga,,Naga,Draak,Drage,Smok,Dragon,Дракон,Drakon,,Drake,มังกร,Mangkon,Ejderha,Rồng,Lóng,Lùhng
dark,Dark,あく,あく,Aku,Ténèbres,Unlicht,Siniestro,Siniestro,Buio,악,Ak,惡,恶,Temný,Sombrio,Escuridão,,,Mørke,Σκοταδιού,Skotadiou,Pimeys,,אופל,Offel,डार्क,Sötét,Kegelapan,,Gelap,Duister,Mørk,Mroczny,Întuneric,Темнота,Temnota,,Mörker,มืด,Muet,Karanlık,Bóng tối,È,Ok
fairy,Fairy,フェアリー,フェアリー,Fairy,Fée,Fee,Hada,Hada,Folletto,페어리,Fairy,妖精,妖精,Vílí,,Fada,,,Fe,Νεράιδα,Neráida,Keiju,,פיה,Feya,फ़ेरी,Tündér,Peri,,Pari Pari,Fairy,Fe,Baśniowy,Zână,Фея,Feya,,Fe,แฟรี่,Fairy,Peri,Tiên,Yāojing,Yíujīng
stellar,Stellar,ステラ,ステラ,Stella,Stellaire,Stellar,Astral,Astral,Astrale,스텔라,Stella,星晶,星晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xīngjīng,Sīngjīng
unknown,???,？？？,？？？,,???,???,???,???,???,???,,???,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadow,Shadow,ダーク,ダーク,,Obscur,Crypto,,,Ombra,다크,,暗,暗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
