key,column,pokeapi,pokedb,chosen
absorb-bulb/lets-go-pikachu-lets-go-eevee,flavor_text,"An item to be held by a Pokémon. It boosts Sp. Atk
if the holder is hit with a Water-type attack. It can only
be used once.",An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.,"An item to be held by a Pokémon. It boosts Sp. Atk
if the holder is hit with a Water-type attack. It can only
be used once."
adamant-orb/black-2-white-2,flavor_text,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves."
adamant-orb/black-white,flavor_text,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves."
adamant-orb/diamond-pearl,flavor_text,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves."
adamant-orb/heartgold-soulsilver,flavor_text,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves."
adamant-orb/platinum,flavor_text,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.,"A brightly gleaming orb to be held by
DIALGA. It boosts the power of Dragon-​
and Steel-type moves."
adamant-orb/x-y,flavor_text,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves when it is held.",A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.,"A brightly gleaming orb to be held by
Dialga. It boosts the power of Dragon-​
and Steel-type moves when it is held."
aguav-berry/diamond-pearl,flavor_text,"A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion.","If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion.","A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion."
aguav-berry/platinum,flavor_text,"A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion.","If held by a Pokémon, it restores the user's HP in a pinch, but may also cause confusion.","A Poffin ingredient. If held by a
Pokémon, it restores the user’s HP in
a pinch, but may also cause confusion."
aloraichium-z--held/sun-moon,flavor_text,"This is a crystallized form of Z-Power. It upgrades
Alolan Raichu’s Thunderbolt to a Z-Move.",It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to an exclusive Z-Move.,"This is a crystallized form of Z-Power. It upgrades
Alolan Raichu’s Thunderbolt to a Z-Move."
aloraichium-z--held/ultra-sun-ultra-moon,flavor_text,"This is a crystallized form of Z-Power. It upgrades
Alolan Raichu’s Thunderbolt to a Z-Move.",It converts Z-Power into crystals that upgrade Alolan Raichu's Thunderbolt to an exclusive Z-Move.,"This is a crystallized form of Z-Power. It upgrades
Alolan Raichu’s Thunderbolt to a Z-Move."
