region,area,poi_name,description,page,source
kanto,Pewter City,Pewter Museum of Science,"One of Pewter City's main attractions is the famous museum located in the northwestern part of the city. The main building is open to the public for 50 and features several scientific artifacts. There are two floors to explore in the Pewter Museum of Science. The first floor holds the front desk and a fossil exhibit containing the fossils of Aerodactyl and Kabutops. The second floor hosts a space exhibit, featuring a space shuttle and a large Moon Stone that fell from space and landed on Mt. Moon. The player is able to explore the museum at any time, after paying the admission fee. Once the ability to use Cut out of battle is gained, (I) (FRLG) or after the player's Partner Pokémon is taught the Secret Technique Chop Down, (PE) the player can sneak into the back of the museum and acquire the Old Amber from a scientist there, allowing the player to revive an Aerodactyl later in the game. In LeafGreen, there is also a Move Tutor who will teach Seismic Toss to one of the player's compatible Pokémon. The museum is closed for renovations during Generation II. In SoulSilver, however, the museum is open for business. There is a scientist in the museum who will revive a player's Fossils, much like the scientist at Cinnabar Island's Cinnabar Lab in Generations I, III, and VII. This is due to the fact that Fossils can be found under rocks using Rock Smash, unlike in Generation II, where players were required to transfer Fossil Pokémon from the Generation I games using the Time Capsule.",Pewter City,bulbapedia
kanto,Pewter City,Pewter Gym,"The Pewter Gym is the official Gym of Pewter City. It is based on Rock Pokémon. The Gym Leader is Brock. Trainers who defeat him receive the Boulder. Pewter Gym appears in all games set in the Kanto region, appearing much the same in each: a small building with a Japanese rock garden inside, one or two Gym Trainers, and the Gym Leader Brock waiting on a large stone pedestal. In the Generation I games and their remakes, if the player tries to leave Pewter City to Route 3 without earning the Boulder Badge first, a boy will lead them to the front of the Gym.",Pewter City,bulbapedia
kanto,Cerulean City,Bike Shop,"In the Generation I games and Pokémon FireRed and LeafGreen, the Bike Shop sells Bicycles produced by the company. Designs range from a plain city bike to a fast mountain bike; however, the player can only ever get one: the Bicycle. It can be bought for 1,000,000 or exchanged for a Bike Voucher. As only 999,999 can be held at maximum, there is no way for the player to obtain a Bicycle without a Bike Voucher. The Pokémon Fan Club Chairman in Vermilion City will hand over his Bike Voucher if the player listens to him talk about his Rapidash. In Generation II, the shop is closed because the owner decided to move the shop to Goldenrod City in the Johto region. In Pokémon HeartGold and SoulSilver, however, the shop in Kanto is also open, although nothing is obtainable inside. The manager mentions that since all the bicycles have been shipped to Johto for sale, all he has left to sell are inflatable tubes. The That Town, These People radio show profile of Cerulean City mentions this as well. The name ""Miracle Cycle"" only appears in the Japanese games. In the English versions, the Miracle Cycle Shops are just called ""Bike Shops"" and no mention of Miracle Cycle is made at all. In Generation VII, the shop is replaced with the home of the Bike Maniac, who collects different kinds of Bicycles, such as Mach Bikes and Acro Bikes. He doesn't sell or give away any of them.",Cerulean City,bulbapedia
kanto,Cerulean City,Cerulean Cave,"On the outskirts of Cerulean City lies Cerulean Cave, also known as the Unknown Dungeon. It is said to be home to ""horribly strong Pokémon"". The player can capture the level 70 Mewtwo in the Generation I, III, and IV games. Only Trainers who compete and win in the Pokémon League at Indigo Plateau may enter due to the strength of the Pokémon in the cave, although in Generation IV, the player must also defeat all of Kanto's Gym Leaders in order to gain access. Mewtwo lies at the end of the cave, the only one of its species in the game. Another addition in LeafGreen is that Trainers are now required to further prove themselves before entering the cave by completing the quest on the Sevii Islands and restoring the Network Machine of the Pokémon Network Center to operational status. This stipulation may or may not have been added due to the addition of Wobbuffet to the cave's selection of wild Pokémon, and the old set of requirements that would have allowed players to enter the cave before obtaining the National Pokédex. In Generation II, the Dungeon has collapsed, but Mewtwo's Berserk Gene has been left behind. In HeartGold and SoulSilver, however, the cave is still open. The Pokégear map mentions that it once collapsed but was rebuilt, and Mewtwo can still be found inside. In Pokémon Stadium 2, the Pokédex map displays the Cerulean Cave as part of the Cerulean City.",Cerulean City,bulbapedia
kanto,Cerulean City,Cerulean Gym,"The Cerulean Gym is the official Gym of Cerulean City. It is based on Water Pokémon. The Gym Leader is Misty. Trainers who defeat her will receive the Cascade. Other known Gym members include Swimmer Briana, Swimmer Parker, Swimmer Diana, Swimmer Luis, and Picnicker Diana. The Cerulean Gym is designed like an indoor swimming pool, with platforms above the water for the player to walk on. There are no puzzles to solve in this Gym.",Cerulean City,bulbapedia
kanto,Cerulean City,Berry Powder man,"In Pokémon FireRed and LeafGreen, there is a man in a cottage in the northern part of town who concocts a variety of medicines from Berry Powder and will exchange Berry Powder for herbal medicine and vitamins. When he is first visited, he gives the player the Powder Jar, and will ask the player to make some Berry Powder from the new machine that crushes Berries in the Pokémon Center upstairs. There is also a sign on his wall that keeps a record of pressing-speed ranking the player achieves. Berry Powder Units Units Units Units Units Units",Cerulean City,bulbapedia
kanto,Cerulean City,Gym Badge man,"In Generations I and III, there is a man in a cottage in the northwest corner of the city who will explain exactly what the effects are for each of the eight Indigo League Gym Badges. He also has a small backyard, where a Rare Candy can be found hidden among the flowers.",Cerulean City,bulbapedia
kanto,Cerulean City,Dontae's house,"There is a residential house located to the west of the Pokémon Center. In Pokémon Red, Blue, Gold, Silver, Crystal, FireRed, LeafGreen, HeartGold, and SoulSilver, this house belongs to Dontae and his wife. In Generation I and III, Dontae will offer to trade the player his Jynx for their Poliwhirl. In Generation II and IV, he is satisfied with the Pokémon he has received from trades over the years. In Pokémon Yellow, this house belongs to a girl who is taking care of an Oddish, Sandshrew, and Bulbasaur. If the player's Pikachu's friendship is 147 or higher, she will offer to give the player her Bulbasaur. In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, the girl once again inhabits the house. She will give the player a Bulbasaur if they have caught at least 30 Pokémon.",Cerulean City,bulbapedia
kanto,Cerulean City,Burglarized house,"In Generations I, III, and VII, a Team Rocket Grunt stole the TM for Dig from its owner, leaving the house a mess. After defeating the Grunt, the player will receive the TM from him. The owner then says that since the TM was stolen, he'll find a way of teaching Dig to Diglett without a TM. The house is initially inaccessible because a Cerulean Police Officer (Officer Jenny in Yellow and Generation VII) blocks the door. The officer will only move aside from the door after the player talks to Bill at his Sea Cottage on Route 25. In Generations II and IV, the man is actively fighting against robbers so the situation that occurred to him and his wife three years prior does not happen again. When he learns about the Team Rocket Grunt who stole the Machine Part, he gets upset and claims that he won't even reconsider not reporting the Team Rocket Grunt if he turns out to be the same thief from three years ago. A notice outside the house in Generation II and SoulSilver reads: There's a notice here... Stamp out thievery and make the city a friendlier, more cheerful place! Cerulean Police",Cerulean City,bulbapedia
kanto,Cerulean City,Move Tutor,"In Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!, a Tamer in the Pokémon Center will teach the player's Partner Pokémon exclusive moves.",Cerulean City,bulbapedia
