move,version_group,language,flavor_text
pound,gold-silver,en,"Pounds with fore­
legs or tail."
pound,crystal,en,"Pounds with fore­
legs or tail."
pound,ruby-sapphire,en,"Pounds the foe with
forelegs or tail."
pound,emerald,en,"Pounds the foe with
forelegs or tail."
pound,firered-leafgreen,en,"A physical attack
delivered with a
long tail or a
foreleg, etc."
pound,diamond-pearl,en,"The foe is physically
pounded with a long
tail or a foreleg,
etc."
pound,platinum,en,"The foe is physically
pounded with a long
tail or a foreleg,
etc."
pound,heartgold-soulsilver,en,"The foe is physically
pounded with a long
tail or a foreleg,
etc."
pound,black-white,fr,"Écrase l’ennemi avec les pattes
avant, la queue, etc."
pound,black-white,en,"The target is physically pounded with
a long tail or a foreleg, etc."
pound,black-2-white-2,en,"The target is physically pounded with
a long tail or a foreleg, etc."
pound,x-y,ja-hrkt,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。"
pound,x-y,ko,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
pound,x-y,fr,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
pound,x-y,de,Ein Hieb mit den Vorderbeinen oder dem Schweif.
pound,x-y,es,Golpea con las patas o la cola.
pound,x-y,it,"Colpisce il bersaglio con la coda o le zampe
anteriori."
pound,x-y,en,"The target is physically pounded with
a long tail, a foreleg, or the like."
pound,x-y,ja,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。"
pound,x-y,es-419,Golpea con las patas o la cola.
pound,omega-ruby-alpha-sapphire,ja-hrkt,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。"
pound,omega-ruby-alpha-sapphire,ko,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
pound,omega-ruby-alpha-sapphire,fr,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
pound,omega-ruby-alpha-sapphire,de,Ein Hieb mit den Vorderbeinen oder dem Schweif.
pound,omega-ruby-alpha-sapphire,es,Golpea con las patas o la cola.
pound,omega-ruby-alpha-sapphire,it,"Colpisce il bersaglio con la coda o le zampe
anteriori."
pound,omega-ruby-alpha-sapphire,en,"The target is physically pounded with
a long tail, a foreleg, or the like."
pound,omega-ruby-alpha-sapphire,ja,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。"
pound,omega-ruby-alpha-sapphire,es-419,Golpea con las patas o la cola.
pound,sun-moon,ja-hrkt,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。"
pound,sun-moon,ko,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
pound,sun-moon,zh-hant,"使用長長的尾巴或手等
拍打對手進行攻擊。"
pound,sun-moon,fr,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
pound,sun-moon,de,Ein Hieb mit den Vorderbeinen oder dem Schweif.
pound,sun-moon,es,Golpea con las patas o la cola.
pound,sun-moon,it,"Colpisce il bersaglio con la coda o le zampe
anteriori."
pound,sun-moon,en,"The target is physically pounded with a long tail, a
foreleg, or the like."
pound,sun-moon,ja,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。"
pound,sun-moon,zh-hans,"使用长长的尾巴或手等
拍打对手进行攻击。"
pound,sun-moon,es-419,Golpea con las patas o la cola.
pound,ultra-sun-ultra-moon,ja-hrkt,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。"
pound,ultra-sun-ultra-moon,ko,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
pound,ultra-sun-ultra-moon,zh-hant,"使用長長的尾巴或手等
拍打對手進行攻擊。"
pound,ultra-sun-ultra-moon,fr,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
pound,ultra-sun-ultra-moon,de,Ein Hieb mit den Vorderbeinen oder dem Schweif.
pound,ultra-sun-ultra-moon,es,Golpea con las patas o la cola.
pound,ultra-sun-ultra-moon,it,"Colpisce il bersaglio con la coda o le zampe
anteriori."
pound,ultra-sun-ultra-moon,en,"The target is physically pounded with a long tail, a
foreleg, or the like."
pound,ultra-sun-ultra-moon,ja,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。"
pound,ultra-sun-ultra-moon,zh-hans,"使用长长的尾巴或手等
拍打对手进行攻击。"
pound,ultra-sun-ultra-moon,es-419,Golpea con las patas o la cola.
pound,lets-go-pikachu-lets-go-eevee,ja-hrkt,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。"
pound,lets-go-pikachu-lets-go-eevee,ko,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
pound,lets-go-pikachu-lets-go-eevee,zh-hant,"使用長長的尾巴或手等
拍打對手進行攻擊。"
pound,lets-go-pikachu-lets-go-eevee,fr,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
pound,lets-go-pikachu-lets-go-eevee,de,Ein Hieb mit den Vorderbeinen oder dem Schweif.
pound,lets-go-pikachu-lets-go-eevee,es,Golpea con las patas o la cola.
pound,lets-go-pikachu-lets-go-eevee,it,"Colpisce il bersaglio con la coda o le zampe
anteriori."
pound,lets-go-pikachu-lets-go-eevee,en,"The target is physically pounded with a long tail, a
foreleg, or the like."
