item,version_group,language,flavor_text
antidote,colosseum,en,Heals a poisoned Pokémon.
antidote,xd,en,Heals a poisoned Pokémon.
big-pearl,colosseum,en,A lovely large pearl that would sell at a high price.
big-pearl,xd,en,A lovely large pearl that would sell at a high price.
iapapa-berry,colosseum,en,A hold item that restores HP but may confuse.
iapapa-berry,xd,en,A hold item that restores HP but may confuse.
leftovers,colosseum,en,A hold item that gradually restores HP in battle.
leftovers,xd,en,A hold item that gradually restores HP in battle.
mental-herb,colosseum,en,A hold item that snaps Pokémon out of infatuation.
mental-herb,xd,en,A hold item that snaps Pokémon out of infatuation.
metal-powder,colosseum,en,A hold item that raises Defense.
metal-powder,xd,en,A hold item that raises Ditto's Defense.
net-ball,colosseum,en,A Ball that works well on Water- and Bug-type Pokémon.
net-ball,xd,en,A Ball that works well on Water- and Bug-type Pokémon.
sacred-ash,colosseum,en,Fully revives and restores all fainted Pokémon.
sacred-ash,xd,en,Fully revives and restores all fainted Pokémon.
sharp-beak,colosseum,en,A hold item that raises the power of Flying-type moves.
sharp-beak,xd,en,A hold item that raises the power of Flying-type moves.
shoal-shell,colosseum,en,An item brought over from a faraway place.
shoal-shell,xd,en,An item brought over from a faraway place.
soothe-bell,colosseum,en,A hold item that calms spirits and fosters friendship.
soothe-bell,xd,en,A hold item that calms spirits and fosters friendship.
