identifier,id,name_en,name_fr,name_de
level-up,1,Level up,Montée de niveau,Levelaufstieg
trade,2,Trade or Linking Cord,Échange,Tausch oder Verbindungsschnur
use-item,3,Use item,Utilisation d’un objet,Gegenstand nutzen
shed,4,Shed,Place dans l’équipe et une Poké Ball,Platz im Team und ein Pokéball
spin,5,Spin,Tourner sur soi-même,
tower-of-darkness,6,Train in the Tower of Darkness,Interagir avec le Rouleau des Ténèbres dans la Tour des Ténèbres,
tower-of-waters,7,Train in the Tower of Waters,Interagir avec le Rouleau de l’Eau dans la Tour de l’Eau,
three-critical-hits,8,Land three critical hits in a battle,Faire 3 coups critiques en un combat,
take-damage,9,Go somewhere after taking damage,Aller quelque part après avoir encaissé des dommages,
other,10,Other,Autre,
agile-style-move,11,Use move in agile style,Utiliser une capacité sous style agile,
strong-style-move,12,Use move in strong style,Utiliser une capacité sous style puissant,
recoil-damage,13,Take recoil damage,Subir des dégâts de contrecoup,
use-move,14,Use move,Utiliser une capacité,
three-defeated-bisharp,15,Defeat three Bisharp that hold a Leader's Crest,Vaincre trois Scalproie en tenant un Emblème du Général,
gimmighoul-coins,16,Collect 999 Gimmighoul Coins,Collectionner 999 Pièces Mordudor,
