ability,version_group,language,flavor_text
stench,ruby-sapphire,fr,Repousse POKéMON sauvage.
stench,ruby-sapphire,en,Helps repel wild POKéMON.
stench,emerald,fr,Repousse POKéMON sauvage.
stench,emerald,en,Helps repel wild POKéMON.
stench,firered-leafgreen,fr,Repousse POKéMON sauvage.
stench,firered-leafgreen,en,Helps repel wild POKéMON.
stench,diamond-pearl,fr,La puanteur peut repousser les Pokémon sauvages.
stench,diamond-pearl,en,"The stench helps keep
wild Pokémon away."
stench,platinum,fr,La puanteur peut repousser les Pokémon sauvages.
stench,platinum,en,"The stench helps keep
wild Pokémon away."
stench,heartgold-soulsilver,fr,La puanteur peut repousser les Pokémon sauvages.
stench,heartgold-soulsilver,en,"The stench helps keep
wild Pokémon away."
stench,black-white,fr,La puanteur peut effrayer l'adversaire.
stench,black-white,en,"The stench may cause
the target to flinch."
stench,black-2-white-2,fr,La puanteur peut effrayer l'adversaire.
stench,black-2-white-2,en,"The stench may cause
the target to flinch."
stench,x-y,ja-hrkt,"くさくて　あいてが
ひるむ　ことがある。"
stench,x-y,ko,"악취 때문에 상대가
풀죽을 때가 있다."
stench,x-y,fr,"La puanteur peut effrayer
l’adversaire."
stench,x-y,de,"Lässt den Gegner durch Gestank
zurückschrecken."
stench,x-y,es,"Es posible que el rival retroceda
por el mal olor."
stench,x-y,it,"A volte il cattivo odore
fa tentennare i nemici."
stench,x-y,en,"The stench may cause
the target to flinch."
stench,x-y,ja,"臭くて　相手が
ひるむ　ことがある。"
stench,x-y,es-419,"Es posible que el rival retroceda
por el mal olor."
stench,omega-ruby-alpha-sapphire,ja-hrkt,"くさくて　あいてが
ひるむ　ことがある。"
stench,omega-ruby-alpha-sapphire,ko,"악취 때문에 상대가
풀죽을 때가 있다."
stench,omega-ruby-alpha-sapphire,fr,La puanteur peut effrayer l'adversaire.
stench,omega-ruby-alpha-sapphire,de,"Lässt den Gegner durch Gestank
zurückschrecken."
stench,omega-ruby-alpha-sapphire,es,"Es posible que el rival retroceda
por el mal olor."
stench,omega-ruby-alpha-sapphire,it,"A volte il cattivo odore
fa tentennare i nemici."
stench,omega-ruby-alpha-sapphire,en,"The stench may cause
the target to flinch."
stench,omega-ruby-alpha-sapphire,ja,"臭くて　相手が
ひるむ　ことがある。"
stench,omega-ruby-alpha-sapphire,es-419,"Es posible que el rival retroceda
por el mal olor."
stench,sun-moon,ja-hrkt,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
stench,sun-moon,ko,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
stench,sun-moon,zh-hant,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
stench,sun-moon,fr,Le Pokémon émet une odeur si nauséabonde qu'il peut effrayer sa cible.
stench,sun-moon,de,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
stench,sun-moon,es,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,sun-moon,it,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
stench,sun-moon,en,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
stench,sun-moon,ja,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
stench,sun-moon,zh-hans,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
stench,sun-moon,es-419,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,ultra-sun-ultra-moon,ja-hrkt,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
stench,ultra-sun-ultra-moon,ko,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
stench,ultra-sun-ultra-moon,zh-hant,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
stench,ultra-sun-ultra-moon,fr,Le Pokémon émet une odeur si nauséabonde qu'il peut effrayer sa cible.
stench,ultra-sun-ultra-moon,de,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
stench,ultra-sun-ultra-moon,es,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,ultra-sun-ultra-moon,it,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
stench,ultra-sun-ultra-moon,en,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
stench,ultra-sun-ultra-moon,ja,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
stench,ultra-sun-ultra-moon,zh-hans,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
stench,ultra-sun-ultra-moon,es-419,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,lets-go-pikachu-lets-go-eevee,ja-hrkt,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
stench,lets-go-pikachu-lets-go-eevee,ko,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
stench,lets-go-pikachu-lets-go-eevee,zh-hant,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
stench,lets-go-pikachu-lets-go-eevee,fr,"Le Pokémon émet une odeur si nauséabonde
qu’il peut effrayer sa cible."
stench,lets-go-pikachu-lets-go-eevee,de,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
stench,lets-go-pikachu-lets-go-eevee,es,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,lets-go-pikachu-lets-go-eevee,it,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
stench,lets-go-pikachu-lets-go-eevee,en,"By releasing stench when attacking, this Pokémon
may cause the target to flinch."
stench,lets-go-pikachu-lets-go-eevee,ja,"臭い　においを　放つことによって
攻撃した　ときに　相手を
ひるませることが　ある。"
stench,lets-go-pikachu-lets-go-eevee,zh-hans,"通过释放臭臭的气味，
在攻击的时候，
有时会使对手畏缩。"
stench,lets-go-pikachu-lets-go-eevee,es-419,"Debido al mal olor que emana, al atacar al rival puede
hacerlo retroceder."
stench,sword-shield,ja-hrkt,"くさい　においを　はなつことによって
こうげきした　ときに　あいてを
ひるませることが　ある。"
stench,sword-shield,ko,"악취를 풍겨서
공격했을 때 상대가
풀죽을 때가 있다."
stench,sword-shield,zh-hant,"發出臭氣，
在攻擊的時候，
有時會使對手畏縮。"
stench,sword-shield,fr,Le Pokémon émet une odeur si nauséabonde qu'il peut effrayer sa cible.
stench,sword-shield,de,"Lässt das Ziel beim Angriff eventuell durch Gestank
zurückschrecken."
stench,sword-shield,es,"Puede amedrentar al rival al atacarlo debido al mal olor
que emana."
stench,sword-shield,it,"A volte il cattivo odore emesso dal Pokémon
fa tentennare i nemici quando attacca."
