move,name_en,name_ja,name_ja_hrkt,name_ja_roma,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_ko_latn,name_zh_hant,name_zh_hans,name_zh_latn
pound,Pound,はたく,はたく,Hataku,Écras’Face,Klaps,Destructor,Destructor,Botta,막치기,Makchigi,拍擊,拍击,Pāijī / Paakgīk
karate-chop,Karate Chop,からてチョップ,からてチョップ,Karate Choppu,Poing Karaté,Karateschlag,Golpe Kárate,Golpe Karate,Colpokarate,태권당수,Taegweon Dangsu,空手劈,空手劈,Kōngshǒu Pī / Hūngsáu Pek
double-slap,Double Slap,おうふくビンタ,おうふくビンタ,Ōfuku Binta,Torgnoles,Duplexhieb,Doble Bofetón,Doble Bofetón,Doppiasberla,연속뺨치기,Yeonsok Ppyamchigi,連環巴掌,连环巴掌,Liánhuán Bāzhang / Lìhnwàahn Bājéung
comet-punch,Comet Punch,れんぞくパンチ,れんぞくパンチ,Renzoku Panchi,Poing Comète,Kometenhieb,Puño Cometa,Puño Cometa,Cometapugno,연속펀치,Yeonsok Punch,連續拳,连续拳,Liánxù Quán / Lìhnjuhk Kyùhn
mega-punch,Mega Punch,メガトンパンチ,メガトンパンチ,Megaton Panchi,Ultimapoing,Megahieb,Megapuño,Megapuño,Megapugno,메가톤펀치,Megaton Punch,百萬噸重拳,百万吨重拳,Bǎiwàn-dùn Zhòngquán / Baakmaahn-dēun Chúhngkyùhn
pay-day,Pay Day,ネコにこばん,ネコにこばん,Neko ni Koban,Jackpot,Zahltag,Día de Pago,Día de Pago,Giornopaga,고양이돈받기,Goyang'i Donbatgi,聚寶功,聚宝功,Jùbǎo-gōng / Jeuihbóu-gūng
fire-punch,Fire Punch,ほのおのパンチ,ほのおのパンチ,Honō no Panchi,Poing Feu,Feuerschlag,Puño Fuego,Puño Fuego,Fuocopugno,불꽃펀치,Bulkkot Punch,火焰拳,火焰拳,Huǒyàn Quán / Fóyihm Kyùhn
ice-punch,Ice Punch,れいとうパンチ,れいとうパンチ,Reitō Panchi,Poing Glace,Eishieb,Puño Hielo,Puño Hielo,Gelopugno,냉동펀치,Naengdong Punch,冰凍拳,冰冻拳,Bīngdòng Quán / Bīngdung Kyùhn
thunder-punch,Thunder Punch,かみなりパンチ,かみなりパンチ,Kaminari Panchi,Poing Éclair,Donnerschlag,Puño Trueno,Puño Trueno,Tuonopugno,번개펀치,Beongae Punch,雷電拳,雷电拳,Léidiàn Quán / Lèuihdihn Kyùhn
scratch,Scratch,ひっかく,ひっかく,Hikkaku,Griffe,Kratzer,Arañazo,Arañazo,Graffio,할퀴기,Halkwigi,抓,抓,Zhuā / Jáau
vice-grip,Vise Grip,はさむ,はさむ,Hasamu,Force Poigne,Klammer,Agarre,Fuerza de Garra,Presa,찝기,Jjipgi,夾住,夹住,Jiāzhù / Gaapjyuh
guillotine,Guillotine,ハサミギロチン,ハサミギロチン,Hasami Girochin,Guillotine,Guillotine,Guillotina,Guillotina,Ghigliottina,가위자르기,Gawi Jareugi,斷頭鉗,断头钳,Duàntóu Qián / Dyuhntàuh Kìhm
razor-wind,Razor Wind,かまいたち,かまいたち,Kamaitachi,Coupe-Vent,Klingensturm,Viento Cortante,Viento Cortante,Ventagliente,칼바람,Kalbaram,旋風刀,旋风刀,Xuànfēng Dāo / Syùhnfūng Dōu
swords-dance,Swords Dance,つるぎのまい,つるぎのまい,Tsurugi no Mai,Danse Lames,Schwerttanz,Danza Espada,Danza de Espadas,Danzaspada,칼춤,Kalchum,劍舞,剑舞,Jiànwǔ / Gimmóuh
cut,Cut,いあいぎり,いあいぎり,Iaigiri,Coupe,Zerschneider,Corte,Corte,Taglio,풀베기,Pulbegi,居合斬,居合斩,Jūhé Zhǎn / Gēuihahp Jáam
