identifier,id,increased_stat,decreased_stat,likes_flavor,hates_flavor,game_index,name_en,name_ja,name_ja_hrkt,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans
hardy,1,attack,attack,cool,cool,0,Hardy,がんばりや,がんばりや,Hardi,Robust,Fuerte,Fuerte,Ardita,노력,勤奮,勤奋
bold,2,defense,attack,tough,cool,5,Bold,ずぶとい,ずぶとい,Assuré,Kühn,Osada,Osada,Sicura,대담,大膽,大胆
modest,3,special-attack,attack,beauty,cool,15,Modest,ひかえめ,ひかえめ,Modeste,Mäßig,Modesta,Modesta,Modesta,조심,內斂,内敛
calm,4,special-defense,attack,smart,cool,20,Calm,おだやか,おだやか,Calme,Still,Serena,Serena,Calma,차분,溫和,温和
timid,5,speed,attack,cute,cool,10,Timid,おくびょう,おくびょう,Timide,Scheu,Miedosa,Miedosa,Timida,겁쟁이,膽小,胆小
lonely,6,attack,defense,cool,tough,1,Lonely,さみしがり,さみしがり,Solo,Solo,Huraña,Huraña,Schiva,외로움,怕寂寞,怕寂寞
docile,7,defense,defense,tough,tough,6,Docile,すなお,すなお,Docile,Sanft,Dócil,Dócil,Docile,온순,坦率,坦率
mild,8,special-attack,defense,beauty,tough,16,Mild,おっとり,おっとり,Doux,Mild,Afable,Afable,Mite,의젓,慢吞吞,慢吞吞
gentle,9,special-defense,defense,smart,tough,21,Gentle,おとなしい,おとなしい,Gentil,Zart,Amable,Amable,Gentile,얌전,溫順,温顺
hasty,10,speed,defense,cute,tough,11,Hasty,せっかち,せっかち,Pressé,Hastig,Activa,Activa,Lesta,성급,急躁,急躁
adamant,11,attack,special-attack,cool,beauty,3,Adamant,いじっぱり,いじっぱり,Rigide,Hart,Firme,Firme,Decisa,고집,固執,固执
impish,12,defense,special-attack,tough,beauty,8,Impish,わんぱく,わんぱく,Malin,Pfiffig,Agitada,Agitada,Scaltra,장난꾸러기,淘氣,淘气
bashful,13,special-attack,special-attack,beauty,beauty,18,Bashful,てれや,てれや,Pudique,Zaghaft,Tímida,Tímida,Ritrosa,수줍음,害羞,害羞
careful,14,special-defense,special-attack,smart,beauty,23,Careful,しんちょう,しんちょう,Prudent,Sacht,Cauta,Cauta,Cauta,신중,慎重,慎重
rash,15,special-attack,special-defense,beauty,smart,19,Rash,うっかりや,うっかりや,Foufou,Hitzig,Alocada,Alocada,Ardente,덜렁,馬虎,马虎
jolly,16,speed,special-attack,cute,beauty,13,Jolly,ようき,ようき,Jovial,Froh,Alegre,Alegre,Allegra,명랑,爽朗,爽朗
naughty,17,attack,special-defense,cool,smart,4,Naughty,やんちゃ,やんちゃ,Mauvais,Frech,Pícara,Pícara,Birbona,개구쟁이,頑皮,顽皮
lax,18,defense,special-defense,tough,smart,9,Lax,のうてんき,のうてんき,Lâche,Lasch,Floja,Floja,Fiacca,촐랑,樂天,乐天
quirky,19,special-defense,special-defense,smart,smart,24,Quirky,きまぐれ,きまぐれ,Bizarre,Kauzig,Rara,Rara,Furba,변덕,浮躁,浮躁
naive,20,speed,special-defense,cute,smart,14,Naive,むじゃき,むじゃき,Naïf,Naiv,Ingenua,Ingenua,Ingenua,천진난만,天真,天真
brave,21,attack,speed,cool,cute,2,Brave,ゆうかん,ゆうかん,Brave,Mutig,Audaz,Audaz,Audace,용감,勇敢,勇敢
relaxed,22,defense,speed,tough,cute,7,Relaxed,のんき,のんき,Relax,Locker,Plácida,Plácida,Placida,무사태평,悠閒,悠闲
quiet,23,special-attack,speed,beauty,cute,17,Quiet,れいせい,れいせい,Discret,Ruhig,Mansa,Mansa,Quieta,냉정,冷靜,冷静
sassy,24,special-defense,speed,smart,cute,22,Sassy,なまいき,なまいき,Malpoli,Forsch,Grosera,Grosera,Vivace,건방,自大,自大
serious,25,speed,speed,cute,cute,12,Serious,まじめ,まじめ,Sérieux,Ernst,Seria,Seria,Seria,성실,認真,认真
