item,version_group,language,flavor_text
laheavy-ball,legends-arceus,en,"Doesn't fly far, but is more effective if the Pokémon
hasn't noticed the player."
laleaden-ball,legends-arceus,en,"Upgraded version of the Heavy Ball. Doesn't fly far,
but is more effective if the Pokémon hasn't noticed the player."
lagigaton-ball,legends-arceus,en,"Upgraded version of the Leaden Ball. Doesn't fly far,
but is more effective if the Pokémon hasn't noticed the player."
lafeather-ball,legends-arceus,en,"Can be thrown further than a regular Poké Ball.
Is more effective for catching Pokémon that fly high in the air."
lawing-ball,legends-arceus,en,"Can be thrown further than a Feather Ball.
Is more effective for catching Pokémon that fly high in the air."
lajet-ball,legends-arceus,en,"Can be thrown further than a Wing Ball.
Is more effective for catching Pokémon that fly high in the air."
absorb-bulb,legends-arceus,en,An item to be held by a Pokémon. It boosts Sp. Atk if the holder is hit with a Water-type attack. It can only be used once.
adamant-crystal,legends-arceus,en,"When used on Dialga, this large, glowing gem wells with power and allows the Pokémon to change form."
adamant-mint,legends-arceus,en,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly."
adamant-orb,legends-arceus,en,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
adventure-rules,legends-arceus,en,A compact device that automatically collects and records advice when a Trainer is out on an adventure.
aguav-berry,legends-arceus,en,A Berry that can be fed to a Pokémon to restore its HP by up to half its max.
altarianite,legends-arceus,en,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
amaze-mulch,legends-arceus,en,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
antidote,legends-arceus,en,A spray-type medicine for treating poisoning. It can be used to lift the effects of being poisoned from a single Pokémon.
apricorn,legends-arceus,en,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch. Its proper name is actually “Brown Apricorn.”
apricorn-box,legends-arceus,en,A handy box where you can store up to 99 of each kind of Apricorn.
aqua-suit,legends-arceus,en,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
armor-fossil,legends-arceus,en,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
armor-pass,legends-arceus,en,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station.
armorite-ore,legends-arceus,en,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor.
aspear-berry,legends-arceus,en,A Berry that can be fed to a Pokémon to cure its frostbite or thrown to draw wild Pokémon’s attention.
audinite,legends-arceus,en,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
