form,version,language,flavor_text
deoxys-normal,ruby,en,"The DNA of a space virus underwent a
sudden mutation upon exposure to a
laser beam and resulted in DEOXYS.The crystalline organ on this POKéMON’s
chest appears to be its brain."
deoxys-normal,sapphire,en,"DEOXYS emerged from a virus that came
from space. It is highly intelligent and
wields psychokinetic powers.This POKéMON shoots lasers from the
crystalline organ on its chest."
basculin-red-striped,ultra-sun,en,"Savage, violent Pokémon, red and blue Basculin
are always fighting each other over territory."
basculin-red-striped,ultra-moon,en,"When a school of Basculin appears in a lake,
everything else disappears, except for Corphish
and Crawdaunt. That’s how violent Basculin are."
oricorio-baile,sun,en,"It beats its wings together to create fire.
As it moves in the steps of its beautiful dance,
it bathes opponents in intense flames."
oricorio-baile,moon,en,"This Oricorio has sipped red nectar. Its
passionate dance moves cause its enemies
to combust in both body and mind."
oricorio-baile,ultra-sun,en,"It wins the hearts of its enemies with its
passionate dancing and then uses the opening
it creates to burn them up with blazing flames."
oricorio-baile,ultra-moon,en,"This Oricorio has drunk red nectar. If its Trainer
gives the wrong order, this passionate Pokémon
becomes fiercely angry."
deoxys-attack,firered,en,"This DEOXYS has transformed into its
aggressive guise. It can fool enemies by
altering its appearance."
deoxys-defense,leafgreen,en,"When it changes form, an aurora appears.
It absorbs attacks by altering its
cellular structure."
deoxys-speed,emerald,en,"A POKéMON that mutated from an
extraterrestrial virus exposed to a laser
beam. Its body is configured for superior
agility and speed."
basculin-blue-striped,ultra-sun,en,"Even Basculin, which devours everything it can
with its huge jaws, is nothing more than food to
organisms stronger than itself."
basculin-blue-striped,ultra-moon,en,"Some people call it “the thug of the lake.”
Whether the differences in color are meaningful
is not yet known."
venusaur-mega,lets-go-pikachu,en,"In order to support its flower, which has grown
larger due to Mega Evolution, its back and legs
have become stronger."
venusaur-mega,lets-go-eevee,en,"In order to support its flower, which has grown
larger due to Mega Evolution, its back and legs
have become stronger."
charizard-mega-x,lets-go-pikachu,en,"The overwhelming power that fills its entire
body causes it to turn black and creates intense
blue flames."
charizard-mega-x,lets-go-eevee,en,"The overwhelming power that fills its entire
body causes it to turn black and creates intense
blue flames."
charizard-mega-y,lets-go-pikachu,en,"Its bond with its Trainer is the source of its
power. It boasts speed and maneuverability
greater than that of a jet fighter."
charizard-mega-y,lets-go-eevee,en,"Its bond with its Trainer is the source of its
power. It boasts speed and maneuverability
greater than that of a jet fighter."
blastoise-mega,lets-go-pikachu,en,"The cannon on its back is as powerful as a tank
gun. Its tough legs and back enable it to
withstand the recoil from firing the cannon."
blastoise-mega,lets-go-eevee,en,"The cannon on its back is as powerful as a tank
gun. Its tough legs and back enable it to
withstand the recoil from firing the cannon."
alakazam-mega,sun,en,"As a result of Mega Evolution, its power has
been entirely converted into psychic energy, and
it has lost all strength in its muscles."
alakazam-mega,moon,en,"Its hidden psychic power has been unleashed. A
glance at someone gives it knowledge of the
course of that person’s life, from birth to
death."
alakazam-mega,ultra-sun,en,"It sends out psychic power from the red organ on
its forehead to foresee its opponents’ every
move."
alakazam-mega,ultra-moon,en,"Having traded away its muscles, Alakazam’s true
power has been unleashed. With its psychic
powers, it can foresee all things."
alakazam-mega,lets-go-pikachu,en,"It’s adept at precognition. When attacks
completely miss Alakazam, that’s because it’s
seeing the future."
alakazam-mega,lets-go-eevee,en,"It’s adept at precognition. When attacks
completely miss Alakazam, that’s because it’s
seeing the future."
gengar-mega,sun,en,"Gengar’s relationships are warped. It has no
interest in opponents unless it perceives them
as prey."
gengar-mega,moon,en,"The energy of Mega Evolution awakened it. It
sinks into another dimension, where it keeps a
patient watch for its chance to attack."
gengar-mega,ultra-sun,en,"It tries to take the lives of anyone and
everyone. It will even try to curse the Trainer
who is its master!"
gengar-mega,ultra-moon,en,"Mega Evolution has made it possible for Gengar
to access other dimensions. Its entire body is
brimming with strange power."
gengar-mega,lets-go-pikachu,en,"It can pass through other dimensions and appear
anywhere. It caused a stir one time when it
stuck just one leg out of a wall."
gengar-mega,lets-go-eevee,en,"It can pass through other dimensions and appear
anywhere. It caused a stir one time when it
stuck just one leg out of a wall."
kangaskhan-mega,sun,en,"Mega Kangaskhan’s strength derives from the
mother’s happiness about her child’s growth.
Watching it grow up keeps her spirits high."
kangaskhan-mega,moon,en,"Thanks to Mega Evolution, its child grows. But
as the child is good only at fighting and
nothing else, its mother feels uneasy about its
future."
kangaskhan-mega,ultra-sun,en,"The explosive energy the child is bathed in
causes temporary growth. The mother is beside
herself with worry about it."
kangaskhan-mega,ultra-moon,en,"When the mother sees the back of her
Mega-Evolved child, it makes her think of the
day when her child will inevitably leave her."
kangaskhan-mega,lets-go-pikachu,en,"Its child has grown rapidly, thanks to the
energy of Mega Evolution. Mother and child show
off their harmonious teamwork in battle."
kangaskhan-mega,lets-go-eevee,en,"Its child has grown rapidly, thanks to the
energy of Mega Evolution. Mother and child show
off their harmonious teamwork in battle."
pinsir-mega,sun,en,"The influence of Mega Evolution leaves it in a
state of constant excitement. It pierces enemies
with its two large horns before shredding them."
pinsir-mega,moon,en,"Bathed in the energy of Mega Evolution, its
wings become unusually developed. It flies at
speeds of approximately 30 mph."
pinsir-mega,ultra-sun,en,"After Mega Evolution, it becomes able to fly.
Perhaps because it’s so happy, it rarely touches
the ground."
pinsir-mega,ultra-moon,en,"It zips around at blistering speeds, looking for
an opening to skewer its opponent on its giant
pincers."
pinsir-mega,lets-go-pikachu,en,"With its vaunted horns, it can lift an opponent
10 times heavier than itself and fly about with
ease."
pinsir-mega,lets-go-eevee,en,"With its vaunted horns, it can lift an opponent
10 times heavier than itself and fly about with
ease."
gyarados-mega,sun,en,"Mega Evolution also affects its brain, leaving
no other function except its destructive
instinct to burn everything to cinders."
gyarados-mega,moon,en,"It jets water from the orifices on its sides,
streaking above the water surface at supersonic
speed."
gyarados-mega,ultra-sun,en,"Mega Evolution places a burden on its body. The
stress causes it to become all the more
ferocious."
gyarados-mega,ultra-moon,en,"It zooms out of the water at Mach speeds. Even
large ships caught in its path are split cleanly
in two!"
gyarados-mega,lets-go-pikachu,en,"Although it obeys its instinctive drive to
destroy everything within its reach, it will
respond to orders from a Trainer it truly
trusts."
gyarados-mega,lets-go-eevee,en,"Although it obeys its instinctive drive to
destroy everything within its reach, it will
respond to orders from a Trainer it truly
trusts."
aerodactyl-mega,sun,en,"Part of its body has become stone. Some scholars
claim that this is Aerodactyl’s true appearance."
aerodactyl-mega,moon,en,"When it Mega Evolves, it becomes more vicious
than ever before. Some say that’s because its
excess of power is causing it pain."
aerodactyl-mega,ultra-sun,en,"It will attack anything that moves. Mega
Evolution is a burden on its body, so it’s
incredibly irritated."
aerodactyl-mega,ultra-moon,en,"Mega Evolution awakened some dormant genes,
bringing back the sharp rocks that once covered
Aerodactyl’s entire body."
aerodactyl-mega,lets-go-pikachu,en,"The power of Mega Evolution has completely
restored its genes. The rocks on its body are
harder than diamond."
aerodactyl-mega,lets-go-eevee,en,"The power of Mega Evolution has completely
restored its genes. The rocks on its body are
harder than diamond."
mewtwo-mega-x,lets-go-pikachu,en,"Psychic power has augmented its muscles. It has
a grip strength of one ton and can sprint a
hundred meters in two seconds flat!"
mewtwo-mega-x,lets-go-eevee,en,"Psychic power has augmented its muscles. It has
a grip strength of one ton and can sprint a
hundred meters in two seconds flat!"
mewtwo-mega-y,lets-go-pikachu,en,"Despite its diminished size, its mental power
has grown phenomenally. With a mere thought, it
can smash a skyscraper to smithereens."
mewtwo-mega-y,lets-go-eevee,en,"Despite its diminished size, its mental power
has grown phenomenally. With a mere thought, it
can smash a skyscraper to smithereens."
ampharos-mega,ultra-sun,en,"Excess energy from Mega Evolution stimulates its
genes, and the wool it had lost grows in again."
ampharos-mega,ultra-moon,en,"Massive amounts of energy intensely stimulated
Ampharos’s cells, apparently awakening its
long-sleeping dragon’s blood."
scizor-mega,sun,en,"The excess energy that bathes this Pokémon keeps
it in constant danger of overflow. It can’t
sustain a battle over long periods of time."
scizor-mega,moon,en,"Due to the effects of Mega Evolution, its
pincers have taken on a more diabolical form,
ripping anything they pinch to shreds."
scizor-mega,ultra-sun,en,"It stores the excess energy from Mega Evolution,
so after a long time passes, its body starts to
melt."
scizor-mega,ultra-moon,en,"It’s better at beating things than grasping
them. When it battles for a long time, the
weight of its pincers becomes too much to bear."
heracross-mega,ultra-sun,en,"It can grip things with its two horns and lift
500 times its own body weight."
heracross-mega,ultra-moon,en,"A tremendous influx of energy builds it up, but
when Mega Evolution ends, Heracross is bothered
by terrible soreness in its muscles."
houndoom-mega,ultra-sun,en,"Its red claws and the tips of its tail are
melting from high internal temperatures that are
painful to Houndoom itself."
houndoom-mega,ultra-moon,en,"Houndoom’s entire body generates heat when it
Mega Evolves. Its fearsome fiery breath turns
its opponents to ash."
tyranitar-mega,ultra-sun,en,"Due to the colossal power poured into it, this
Pokémon’s back split right open. Its destructive
instincts are the only thing keeping it moving."
