ability,name_en,name_ja,name_ja_hrkt,name_fr,name_de,name_es,name_es_419,name_it,name_ko,name_zh_hant,name_zh_hans,name_cs,name_pt_br
stench,Stench,あくしゅう,あくしゅう,Puanteur,Duftnote,Hedor,Hedor,Tanfo,악취,惡臭,恶臭,,
drizzle,Drizzle,あめふらし,あめふらし,Crachin,Niesel,Llovizna,Llovizna,Piovischio,잔비,降雨,降雨,,
speed-boost,Speed Boost,かそく,かそく,Turbo,Temposchub,Impulso,Impulso,Acceleratore,가속,加速,加速,,
battle-armor,Battle Armor,カブトアーマー,カブトアーマー,Armurbaston,Kampfpanzer,Armadura Batalla,Armadura Batalla,Lottascudo,전투무장,戰鬥盔甲,战斗盔甲,,
sturdy,Sturdy,がんじょう,がんじょう,Fermeté,Robustheit,Robustez,Robustez,Vigore,옹골참,結實,结实,,
damp,Damp,しめりけ,しめりけ,Moiteur,Feuchtigkeit,Humedad,Humedad,Umidità,습기,濕氣,湿气,,
limber,Limber,じゅうなん,じゅうなん,Échauffement,Flexibilität,Flexibilidad,Flexibilidad,Scioltezza,유연,柔軟,柔软,,
sand-veil,Sand Veil,すながくれ,すながくれ,Voile Sable,Sandschleier,Velo Arena,Velo de Arena,Sabbiavelo,모래숨기,沙隱,沙隐,,
static,Static,せいでんき,せいでんき,Statik,Statik,Electricidad Estática,Electricidad Estática,Statico,정전기,靜電,静电,,
volt-absorb,Volt Absorb,ちくでん,ちくでん,Absorbe-Volt,Voltabsorber,Absorbe Electricidad,Absorbevoltios,Assorbivolt,축전,蓄電,蓄电,,
water-absorb,Water Absorb,ちょすい,ちょすい,Absorbe-Eau,H2O-Absorber,Absorbe Agua,Absorbeagua,Assorbacqua,저수,儲水,储水,,
oblivious,Oblivious,どんかん,どんかん,Benêt,Dösigkeit,Despiste,Despistado,Indifferenza,둔감,遲鈍,迟钝,,
cloud-nine,Cloud Nine,ノーてんき,ノーてんき,Ciel Gris,Wolke Sieben,Aclimatación,Aclimatación,Antimeteo,날씨부정,無關天氣,无关天气,,
compound-eyes,Compound Eyes,ふくがん,ふくがん,Œil Composé,Facettenauge,Ojo Compuesto,Ojo Compuesto,Insettocchi,복안,複眼,复眼,,
insomnia,Insomnia,ふみん,ふみん,Insomnia,Insomnia,Insomnio,Insomnio,Insonnia,불면,不眠,不眠,,
color-change,Color Change,へんしょく,へんしょく,Homochromie,Farbwechsel,Cambio Color,Cambio Color,Cambiacolore,변색,變色,变色,,
immunity,Immunity,めんえき,めんえき,Vaccin,Immunität,Inmunidad,Inmunidad,Immunità,면역,免疫,免疫,,
