species,form,version_group,version,language,flavor_text
1,,red-blue,red,en,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,,red-blue,blue,en,"A strange seed was
planted on its
back at birth.The plant sprouts
and grows with
this POKéMON."
1,,yellow,yellow,en,"It can go for days
without eating a
single morsel.In the bulb on
its back, it
stores energy."
1,,gold-silver,gold,en,"The seed on its
back is filled
with nutrients.The seed grows
steadily larger as
its body grows."
1,,gold-silver,silver,en,"It carries a seed
on its back right
from birth. As itgrows older, the
seed also grows
larger."
1,,crystal,crystal,en,"While it is young,
it uses the
nutrients that arestored in the
seeds on its back
in order to grow."
1,,ruby-sapphire,ruby,en,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,,ruby-sapphire,sapphire,en,"BULBASAUR can be seen napping in
bright sunlight.
There is a seed on its back.By soaking up the sun’s rays, the seed
grows progressively larger."
1,,emerald,emerald,en,"BULBASAUR can be seen napping in bright
sunlight. There is a seed on its back.
By soaking up the sun’s rays, the seed
grows progressively larger."
1,,firered-leafgreen,firered,en,"There is a plant seed on its back right
from the day this POKéMON is born.
The seed slowly grows larger."
1,,firered-leafgreen,leafgreen,en,"A strange seed was planted on its back at
birth. The plant sprouts and grows with
this POKéMON."
1,,diamond-pearl,diamond,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,diamond-pearl,pearl,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,platinum,platinum,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,heartgold-soulsilver,heartgold,en,"The seed on its back is filled
with nutrients. The seed grows
steadily larger as its body grows."
1,,heartgold-soulsilver,soulsilver,en,"It carries a seed on its back right
from birth. As it grows older, the
seed also grows larger."
1,,black-white,black,fr,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,,black-white,black,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,black-white,white,fr,"Au matin de sa vie, la graine sur
son dos lui fournit les éléments
dont il a besoin pour grandir."
1,,black-white,white,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,black-2-white-2,black-2,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
1,,black-2-white-2,white-2,en,"For some time after its birth, it
grows by gaining nourishment from
the seed on its back."
